# CNN model parameters:
# patch_size = 28
# num_instances = 32
# num_features = 10
# batch_size = 20
# num_samples_per_class = 5
# num_classes = 4
# subset_length = 10
# ucc_start = 1
# ucc_end = 4
# learning_rate = 0.0001
# num_steps = 1000001
# save_interval = 1000
# metrics_file = loss_data/step_loss_acc_metrics__2022_01_20__15_38_25__0123456789.txt
# init_model_file = None
# step	train_ucc_acc	train_ucc_loss	val_ucc_acc	val_ucc_loss	train_ae_loss	val_ae_loss	train_loss_weighted	val_loss_weighted
0	0.250	1.392	0.250	1.389	1.277	0.954	1.334	1.171
10	0.400	1.387	0.300	1.385	0.869	0.838	1.128	1.111
20	0.200	1.386	0.200	1.388	0.761	0.758	1.074	1.073
30	0.200	1.388	0.250	1.386	0.717	0.713	1.052	1.049
40	0.250	1.385	0.250	1.386	0.715	0.704	1.050	1.045
50	0.250	1.387	0.250	1.386	0.705	0.704	1.046	1.045
60	0.250	1.387	0.250	1.387	0.709	0.695	1.048	1.041
70	0.250	1.386	0.350	1.385	0.705	0.709	1.045	1.047
80	0.300	1.386	0.250	1.386	0.699	0.713	1.042	1.050
90	0.250	1.386	0.250	1.387	0.708	0.699	1.047	1.043
100	0.250	1.385	0.250	1.387	0.712	0.689	1.049	1.038
110	0.150	1.386	0.300	1.386	0.703	0.710	1.045	1.048
120	0.200	1.387	0.200	1.386	0.703	0.710	1.045	1.048
130	0.200	1.386	0.150	1.386	0.699	0.701	1.042	1.044
