"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.Educational.level.(indicate.how.this.was.measured)","Baseline.Female.(percent)","Baseline.For.studies.in.carers.only:.Caregiver.age.in.years.(mean)","Baseline.For.studies.in.carers.only:.Caregiver.female.(percent)","Baseline.MMSE.score.(mean)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).1.month.post-treatment.mean","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).1.month.post-treatment.N","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).1.month.post-treatment.SD","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).Baseline.mean","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).Baseline.N","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).Baseline.SD","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).End.of.intervention.mean","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).End.of.intervention.N","Caregiver.burden.at.1.month.post-treatment.(Zarit.Caregiver.Burden.Scale).End.of.intervention.SD"
"76","Pahlavanzadeh 2010",2010,"Control","No intervention","No intervention","Iran","Modares Psychiatric Hospital and Shariati Psychiatric clinic in the city of Isfahan, which are the centers for elderly with dementia","Dementia (general/unspecified)","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","Illiterate: 16%; Primary school: 68%; Guidance school: 8%; High school diploma: 8%; Higher education: 0%","56","46.56","68",13.44,"Control","No details","N/A","64.50","25","25.13","43.28","25","13.08","46.8","25","3.13"
"77","Pahlavanzadeh 2010",2010,"Family education program","Support for carers","Information, education, and training to support carers","Iran","Modares Psychiatric Hospital and Shariati Psychiatric clinic in the city of Isfahan, which are the centers for elderly with dementia","Dementia (general/unspecified)","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","Illiterate: 48%; Primary school: 32%; Guidance school: 4%; High school diploma: 16%; Higher education: 0%","44","42.88","84",14,"Family education programme for caregivers; 5 weekly group sessions for 90 minutes each, plus recordings on CD","""Caregivers of the case group attended family educational program after signing a consent form. Patients and controls were not present in this program. The content of the program was based on an educational pamphlet prepared and edited by the researchers through reading books and articles. The content was approved by 10 psychiatrists, neurologist and faculty members of the School of Nursing and Midwifery of Isfahan University of Medical Sciences. This program included 5 weekly sessions22 using lecturing, group discussions (10-15 members in groups), and question and answer as table 1 presents. The duration of each session was 90 minutes23 and the place was Noor Hospital in Isfahan. This program was conducted under the supervision of the first researcher who has several years of experience as a university lecturer and patients and their families’ educator and also has a master degree in psychiatry. Meanwhile, CDs of all the sessions were provided to caregivers of the case group.""","Intervention for caregivers","56.33","25","54.14","42","25","65.17","44.35","25","65.15"
