"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.For.studies.in.carers.only:.Caregiver.female.(percent)","Burden.of.caregiver.Follow.up.mean","Burden.of.caregiver.Follow.up.N","Burden.of.caregiver.Follow.up.SD","Burden.of.caregiver.Post-test.mean","Burden.of.caregiver.Post-test.N","Burden.of.caregiver.Post-test.SD","Burden.of.caregiver.Pre-test.mean","Burden.of.caregiver.Pre-test.N","Burden.of.caregiver.Pre-test.SD","Depression.Follow.up.mean_211","Depression.Follow.up.N.3","Depression.Follow.up.SD_212","Depression.Post-test.mean_215","Depression.Post-test.N.1","Depression.Post-test.SD_216","Depression.Pre-test.mean_217","Depression.Pre-test.N.1","Depression.Pre-test.SD_218","Quality.of.life.Follow.up.mean.1","Quality.of.life.Follow.up.N","Quality.of.life.Follow.up.SD_410","Quality.of.life.Post-test.mean.1","Quality.of.life.Post-test.N","Quality.of.life.Post-test.SD_411","Quality.of.life.Pre-test.mean.1","Quality.of.life.Pre-test.N","Quality.of.life.Pre-test.SD_412"
"345","Mercedeh 2014",2014,"Controlled group","No intervention","No intervention","Iran","Precise setting not stated but members of an Alzheimers Association and took place in urban Tehran.","Alzheimer's Disease","Dementia","Not specified","high risk","high risk","high risk","high risk","some concerns","high risk","100%",NA,NA,NA,"44.7","10","13.71","25.30","10","7.33",NA,NA,NA,"19.4","10","9.21","12.7","10","4.57",NA,NA,NA,"37.57","10","12.80","47.61","10","18.32"
"346","Mercedeh 2014",2014,"Experimental group","Support for carers","Group support and therapy","Iran","Precise setting not stated but members of an Alzheimers Association and took place in urban Tehran.","Alzheimer's Disease","Dementia","Not specified","high risk","high risk","high risk","high risk","some concerns","high risk","100%","17.6","10","17.46","24","10","14.25","31.60","10","16.36","4.20","10","3.64","6.7","10","2.54","20","10","6.16","68.93","10","18.3","70.98","10","11.11","58.01","10","24.01"
