"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.For.studies.in.carers.only:.Caregiver.age.in.years.(mean)","Baseline.For.studies.in.carers.only:.Caregiver.female.(percent)","Baseline.Urban.setting.(percent)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","Zarit.Burden.Interview.(ZBI).Baseline.mean","Zarit.Burden.Interview.(ZBI).Baseline.N","Zarit.Burden.Interview.(ZBI).Baseline.SD","Zarit.Burden.Interview.(ZBI).Change.at.3.month.follow.up.mean","Zarit.Burden.Interview.(ZBI).Change.at.3.month.follow.up.N","Zarit.Burden.Interview.(ZBI).Change.at.3.month.follow.up.SD","Zarit.Burden.Interview.(ZBI).Post.Intervention.Change.mean","Zarit.Burden.Interview.(ZBI).Post.Intervention.Change.N","Zarit.Burden.Interview.(ZBI).Post.Intervention.Change.SD"
"593","Shata 2017",2017,"Control (No intervention)","No intervention","No intervention","Egypt","Psychogeriatric out‑patient clinic of Al‑Maamoura Psychiatric Hospital. Alexandria (urban setting)","Dementia (general/unspecified)","Dementia","Not specified","Yes","low risk","high risk","high risk","high risk","some concerns","high risk","47.97","69.5","100","No intervention","No intervention","N/A","50.0","59","12.6","0.74","59","0.84","0.15","59","0.40"
"594","Shata 2017",2017,"Group psychosocial intervention programme","Support for carers","Group support and therapy","Egypt","Psychogeriatric out‑patient clinic of Al‑Maamoura Psychiatric Hospital. Alexandria (urban setting)","Dementia (general/unspecified)","Dementia","Not specified","Yes","low risk","high risk","high risk","high risk","some concerns","high risk","49.35","61.8","100","8 week multi-component group psychosocial programme","8 week multi-component group psychosocial programme. ""Short‑term goalsincluded (1) improving caregivers’ knowledge aboutdementia, (2) helping caregivers to identify differentproblematic behaviors of care recipients and differentstrategies to handle such behaviors, and (3) providingsocial support for caregivers. Long‑term goals incorporated(1) acquiring the skills of handling problematic behaviors ofcare recipients, (2) enhancing caregivers’ skills and strategiesfor managing the burden of care, and (3) improvingcaregivers’ emotional status through acquiring skills ofcoping and stress management.  The program included three components: grouppsychoeducation (two sessions), brief group CBT(six sessions), and group support sessions that wereheld throughout the program covering topics similar topsychoeducation/CBT topics as illustrated in Table 1. Eachsession took 45–60 min. Training was conducted througha collaborative approach using illustrations, vignettes, roleplaying, brainstorming, group discussion, and audio‑visualaids. Different methods were used to achieve differentobjectives of the program. An intervention protocol withall details covering the above‑mentioned sessions wasprepared based on caregivers’ needs reported by them inthe early assessment phase, and on reviewing literaturefor other programs directed to caregivers’ of people withNCDs, worldwide. Culturally sensitive sessions weredesigned taking into consideration the characteristics ofparticipants. The program was implemented by the principalinvestigator (second author).""","Intervention for carers","52.1","55","15.1","-17.40","55","8.38","-17.36","55","8.34"
