"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","Between.group.comparison.of.care.strain.scores.Post.Test.SD","Between.group.comparison.of.care.strain.scores.Post.Test.Mean","Between.group.comparison.of.care.strain.scores.Pretest.SD","Between.group.comparison.of.care.strain.scores.Pretest.Mean","Within.group.comparison.of.care.strain.scores.Post.Test.SD","Within.group.comparison.of.care.strain.scores.Post.Test.Mean","Within.group.comparison.of.care.strain.scores.Pretest.SD","Within.group.comparison.of.care.strain.scores.Pretest.Mean"
"605","Mahdavi 2017",2017,"Control 1","Support for carers","Group support and therapy","Iran","Family caregivers of the elderly with Alzheimer's disease registered in Iran Alzheimer's Association in 2014","Alzheimer's Disease","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","high risk","high risk","Group sessions without spiritual therapy, 45-60 minutes for 5 weeks","""Five, 45 to 60 minute weekly sessions were held for control group one. In these sessions caregivers were meet each other in groups, with-out performing any particular interventions, and daily issues were discussed""","Intervention for carers ","1.28","36.64","1.35","36.75","1.28","36.64","1.35","36.75"
"606","Mahdavi 2017",2017,"Control 2","No intervention","No intervention","Iran","Family caregivers of the elderly with Alzheimer's disease registered in Iran Alzheimer's Association in 2014","Alzheimer's Disease","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","high risk","high risk","Control","""Control group two received no interventions, or even the chance of meeting the caregivers in the group""","N/A","1.53","37.19","1.64","37.58","1.53","37.19","1.64","37.58"
"607","Mahdavi 2017",2017,"Intervention ","Support for carers","Group support and therapy","Iran","Family caregivers of the elderly with Alzheimer's disease registered in Iran Alzheimer's Association in 2014","Alzheimer's Disease","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","high risk","high risk","Spiritual group therapy 45-60 minutes for 5 weeks","Spiritual group therapy was held weekly
for
five weeks and each session lasted 45 to 60 min. Subjects presented
included: Introduction and formation of group solidarity in session one,
The role of reciting the Quran in personal peace in session two, The role
of recommended recitals and repeat them in personal peace in session
three, The role of reciting prayers in personal peace in session four
and Explaining the experience of spiritual care and its effects, preparing members to leave the group and take advantage of the group's achieve-
ments in session
fi
ve.","Intervention for carers ","2.73","32.43","1.26","37.16","2.73","32.43","1.26","37.16"
