"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Primary.Cognition.Measure.standardized.z-score.change","Type","Baseline.Score.-.Primary.Cognition","Number.of.Participants.at.Baseline","Baseline.SD","Post.Treatment.Score","Post.Treatment.N","Post.Treatment.SD","Post.Treatment.Time.(Months.from.Start)","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.Female.(percent)","Baseline.MMSE.score.(mean)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","MMSE.Baseline.SD","MMSE.Baseline.Mean","MMSE.one.year.SD","MMSE.one.year.Mean"
"229","JIANG 2012",2012,"对照组","No intervention","No intervention","China","Hospital ","Alzheimer's Disease","Dementia","Mild to moderate","No","MMSE","Raw","18.52","48","3.4","20.33","48","3.49","12","some concerns","some concerns","low risk","some concerns","some concerns","some concerns","54.17",18.52,"Conventional therapy with Piracetam and Donepezil","""按医嘱进行脑复康，多奈哌齐 等药物治疗，康复护理干预期间药物剂量不变。 ""","Multicomponent (Conventional therapy + Pharmaceutical)",3.4,18.52,"3.49","20.33"
"230","JIANG 2012",2012,"研究组 ","Comprehensive care interventions","Individual-based interventions","China","Hospital ","Alzheimer's Disease","Dementia","Mild to moderate","No","MMSE","Raw","18.309999999999999","48","3.63","22.08","48","6.15","12","some concerns","some concerns","low risk","some concerns","some concerns","some concerns","58.33",18.31,"Conventional therapy with Piracetam and Donepezil + whole course rehabilitafion nursing intervention including cognitive intervention，memory intervention，behaviour intervention，psychological intervention，safety intervention，community family nursing intervention，etc","""按医嘱进行脑复康，多奈哌齐 等药物治疗，康复护理干预期间药物剂量不变。 ""研究组于入院第2天开始，根据本院编制的《老年痴呆全程康复护理规程》进行全程康复护理干预。 内容包括：①组织与管理：成立由专家、责任医生、责任护士、 护工组成的AD全程康复护理指导小组，小组成员负责制订 AD患者个性化全程康复护理计划，并负责组织实施。②健 康教育：针对AD患者的健康问题和照顾者对健康教育知识 的需求，每周进行相关老年性痴呆健康教育。③认知干预：干 预患者分析、综合、推理、判断和计算的能力，主要方法为3R 护理即Reminiscence(回忆往事)、Reality(现实定向)和 Remotivation(记忆再激发)。主要包括计算能力训练(如计算 家庭每月食品费、水电费、电话费、医疗费等开支，再算半年和 全年费用等)、数字排列训练(如扑克牌打乱后再让患者按顺 序排列等)、分类法训练(如给患者一张写有40种物品名称 的清单，让患者进行归类)等，每天训练三次。④记忆干预： 每天帮助患者记忆住所的环境、周围的人和物，最近进行的一 些活动等。⑤语言训练：要求患者叙述每天周围发生的事件、 家庭情况、新闻故事，让患者多交流，每天至少三次，防止出现 语言障碍。⑥行为干预：根据患者功能障碍情况，从13常生活 的穿衣、饮食、住房、用厕、出行等开始，并从患者的日常生活、 文体活动或一些轻的劳动过程中选出一些能使患者感兴趣并 有助于恢复功能和技能的活动，并按要求进行训练，帮助维持 或恢复功能。根据患者状况确定训练时间。⑦心理干预：每 天根据患者出现焦虑和抑郁等负性情绪的特点，采用安慰、鼓励、暗示以及听音乐、看幽默剧等方法对患者及照顾者进行心 理干预。同时鼓励患者与家人、亲友交往，从思想上、情感上 尽可能沟通，以减少患者的内心痛苦、孤独感、失望感、自罪自 责感。⑧用药指导：指导和督促患者按医嘱科学用药。⑨安 全干预：营造一个舒适、安全的住院环境及家居环境，防止出 现并发症和各种意外事故(如摔倒、骨折、走失、火灾、自杀自 残等)发生。⑩社区一家庭护理干预：患者在出院后，进行家庭 跟踪随访护理干预，每月为患者及照顾者进行讲课，每2周上 门随访1次，每周电话随访1次，了解患者的康复治疗情况， 提出相关指导意见。 ""","Multicomponent intervention (Conventional therapy +  non-pharmacological)",3.63,18.31,"6.15","22.08"
