"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.Educational.level.(indicate.how.this.was.measured)","Baseline.Female.(percent)","Baseline.For.studies.in.carers.only:.Caregiver.age.in.years.(mean)","Baseline.For.studies.in.carers.only:.Caregiver.female.(percent)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","Perceived.caregiver.burden.at.6.months.(Zarit.Burden.score).6.months.N","Perceived.caregiver.burden.at.6.months.(Zarit.Burden.score).6.months.upper.95%.CI","Perceived.caregiver.burden.at.6.months.(Zarit.Burden.score).6.months.Treatment.effect.in.intervention.group.at.6.months","Perceived.caregiver.burden.at.6.months.(Zarit.Burden.score).6.months.lower.95%.CI"
"26","Amit 2008",2008,"Control","No intervention","No intervention","India","Caregivers of people living with dementia were recruited from the community. “The study was conducted in Goa, on the west coast of India. Goa is in an advanced stage of the epidemiological and demographic transition in the country, with some of the best health indicators [7] and a rising proportion of older people; the 2001 Census reported that 8.3% of the total population was aged over 60 years[8]. The consensus figure for prevalence of dementia in India is 1.9% above the age of 60 years [3]The present trial was carried out in two of the largest administrative blocks (talukas) in the state - Bardez and Tiswadi with a population of approximately 340,000.”","Dementia (general/unspecified)","Dementia","Mild to moderate","Yes","low risk","some concerns","low risk","high risk","some concerns","high risk","Below primary: 19%","32.5","53.8","85","Education and information (wait list for intervention)","“The control arm dyads received only education and information regarding dementia and were then placed in a waiting list to receive the intervention after 6 months. They were free to utilize the existing health services during this time.”","N/A","26",NA,NA,NA
"27","Amit 2008",2008,"Home care program","Training and education for carers","Training and education for unpaid carers","India","Caregivers of people living with dementia were recruited from the community. “The study was conducted in Goa, on the west coast of India. Goa is in an advanced stage of the epidemiological and demographic transition in the country, with some of the best health indicators [7] and a rising proportion of older people; the 2001 Census reported that 8.3% of the total population was aged over 60 years[8]. The consensus figure for prevalence of dementia in India is 1.9% above the age of 60 years [3]The present trial was carried out in two of the largest administrative blocks (talukas) in the state - Bardez and Tiswadi with a population of approximately 340,000.”","Dementia (general/unspecified)","Dementia","Mild to moderate","Yes","low risk","some concerns","low risk","high risk","some concerns","high risk","Below primary: 16%","36.6","53.2","90.2","Flexible home-care program tailored to needs of the individual with dementia and their family, delivered by a team of home care advisors, specialist doctor, and counsellor, over 6 months.","“The intervention was delivered by a Community Team, one for each taluka. Each team comprised two full-time Home Care Advisors (HCA), and a part-time local psychiatrist from the public health services, and a part-time lay counselor (who was shared by both teams). The minimum requirements for being a HCA were knowledge of the local language, being literate, preferably passed higher secondary school, and motivated to be involved in the community care of older people. They received intensive training for a week through role play and interactive training methods. The HCA were trained in key skills including listening and counselling skills, bereavement counseling, stress management and health advice for common health problems. The specific components of the intervention carried out by the HCA were: Basic education about dementia (what is the disease, its course, its features etc); Education about common behaviour problems and how they can be managed; Support to the caregiver, for example for an elderly caregiver living alone with the patient, in activities of daily living; Referral to psychiatrists or the family doctor when behaviour problems are severe and warrant medication intervention; Networking of families to enable the formation of support groups; Advice regarding existing government schemes for elders. The HCA applied a flexible home-care program tailored to the needs of the individual and the family. The baseline information collected by the researchers was made available to the HCA before they initiated the intervention. The minimum frequency of visits was at least once a fortnight for six months. The maximum was based on the needs as assessed by the HCA. Thus, the visits could be more frequent depending on the need of that particular family.”","Intervention for carers","33","0.2","-3.29","-6.78"
