"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.Female.(percent)","Baseline.For.studies.in.carers.only:.Caregiver.age.in.years.(mean)","Baseline.For.studies.in.carers.only:.Caregiver.female.(percent)","Baseline.Rural.setting.(percent)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","Caregiver.burden.(Zarit.Burden.Scale).7.weeks.mean","Caregiver.burden.(Zarit.Burden.Scale).7.weeks.N","Caregiver.burden.(Zarit.Burden.Scale).7.weeks.SD","Caregiver.burden.(Zarit.Burden.Scale).Baseline.mean","Caregiver.burden.(Zarit.Burden.Scale).Baseline.N","Caregiver.burden.(Zarit.Burden.Scale).Baseline.SD"
"610","Lök 2017",2017,"""First You Should Get Stronger"" caregiving programme","Support for carers","Information, education, and training to support carers","Turkey","Erenköy - a rural village (population circa 1500) in Turkey. Intervention delivered at carers homes","Dementia (general/unspecified)","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","45.0","52.97","70.0","100","7 session home delivered bespoke caregiver information programme focused on for strengthening the caregiver, decreasing the caregiving burden and developing healthy life style behaviours","""Visits were carried
out by the researcher once every week with each session lasting
45 min. [...] The content of the program was designed in accordance with
the relevant literature before the study was implemented entia
(Alves, Teixeira, Azevedo, Duarte, & Paúl, 2015; Arango-Lasprilla
et al., 2014; Ducharme et al., 2015; Hou et al., 2013; Pinquar and
Sörensen, 2006). We sought expert opinions from four faculty
members in the psychiatric nursing department (1), public health
nursing department (2), internal medical nursing department(1)
who were specialized in working with the families of patients with
dementia. Final revisions were made in the program in accordance
with the opinions of experts. The program consists of seven
sessions for strengthening the caregiver, decreasing the caregiving
burden and developing healthy life style behaviors (Table 1). [...] Session 1 Introduction, learning about dementia and the
individual for whom care is given
Session 2 Communication with individuals with dementia
(caregiving without being derogatory)
Session 3 Defining the difficulties experienced by the
individual with dementia
Session 4 Carrying out the systematics of daily works
Session 5 Determining social support systems
Session 6 Carrying out activities for enhancing and developing
the health of the caregiver
Session 7 General evaluation and closure""","Intervention for carers","67.10","20","7.18","78.3","20","4.46"
"611","Lök 2017",2017,"Control","No intervention","No intervention","Turkey","Erenköy - a rural village (population circa 1500) in Turkey. Intervention delivered at carers homes","Dementia (general/unspecified)","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","35.0","51.76","65.0","100","Control","Appears to be no intervention","Appears to be no intervention","79.30","20","3.79","78.45","20","3.26"
