"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Primary.Cognition.Measure.standardized.z-score.change","Type","Baseline.Score.-.Primary.Cognition","Number.of.Participants.at.Baseline","Baseline.SD","Post.Treatment.Score","Post.Treatment.N","Post.Treatment.SD","Post.Treatment.Time.(Months.from.Start)","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.MMSE.score.(mean)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","ADL.after.12.months.treatment.mean","ADL.after.12.months.treatment.N","ADL.after.12.months.treatment.SD_22","ADL.after.6.months.treatment.mean","ADL.after.6.months.treatment.N","ADL.after.6.months.treatment.SD_23","ADL.Baseline.mean","ADL.Baseline.N","ADL.Baseline.SD_27","MMSE.after.12.months.treatment.mean.1","MMSE.after.12.months.treatment.N_309","MMSE.after.12.months.treatment.SD_310","MMSE.after.6.months.treatment.mean.1","MMSE.after.6.months.treatment.N_318","MMSE.after.6.months.treatment.SD_319","MMSE.Baseline.mean.1","MMSE.Baseline.N_348","MMSE.Baseline.SD_349"
"335","Wang 2014a",2014,"control group","No intervention","No intervention","China","retried cadre's sanitarium","Alzheimer's Disease","Dementia","Not specified","Yes","MMSE","Raw","14.12","61","3.12","11.99","61","6.39","12","some concerns","high risk","low risk","high risk","some concerns","high risk",14.12,"Memantine + Aricept + Usual community healthcare service and personal care for 1 year","""对照组只给予一般
的社区卫生服务和生活护理，未进行居家护理干预""","Multicoponent: Pharmaceutical, Non-pharmacol","44.53","61","7.56","38.95","61","6.57",34.21,61,5.74,11.99,61,6.39,13.23,61,4.49,14.12,61,3.21
"336","Wang 2014a",2014,"treatment group","Comprehensive care interventions","Individual-based interventions","China","retried cadre's sanitarium","Alzheimer's Disease","Dementia","Not specified","Yes","MMSE","Raw","14.19","62","3.12","15.98","62","5.49","12","some concerns","high risk","low risk","high risk","some concerns","high risk",14.19,"Memantine + Aricept + Standardised home care intervention, incl. carer training on personl care, psychosocial support, safety, rehabilitation, and regular home visit; for 1 year","""所有患者均由神经内科专科医生处方给药，主要为安理申和美金刚，均坚持服药治疗。试验组采用规范的居家护理干预模式进行为期 员 年的规范干预。""","Multicoponent: Pharmaceutical, Non-pharmacol, Interv. for carers","32.99","62","6.35","33.16","62","5.29",34.14,62,5.35,15.98,62,5.49,14.29,62,4.41,14.19,62,3.21
