"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.For.studies.in.carers.only:.Caregiver.age.in.years.(mean)","Baseline.For.studies.in.carers.only:.Caregiver.female.(percent)","Baseline.For.studies.in.carers.only:.Full-time.working.(percent)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","Cargeiver.self-efficacy.(perception.of.ability.to.cope).3.weeks.post-intervention.mean","Cargeiver.self-efficacy.(perception.of.ability.to.cope).3.weeks.post-intervention.N","Cargeiver.self-efficacy.(perception.of.ability.to.cope).3.weeks.post-intervention.SD","Cargeiver.self-efficacy.(perception.of.ability.to.cope).Baseline.mean","Cargeiver.self-efficacy.(perception.of.ability.to.cope).Baseline.N","Cargeiver.self-efficacy.(perception.of.ability.to.cope).Baseline.SD"
"595","Salamizadeh 2017",2017,"Control","No intervention","No intervention","Iran","City of Rafsanjan (Iran). Participants (family caregivers) were recruited from private neurologists' offices.","Alzheimer's Disease","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","50.57","89.3","Housewife: 78.6%; Other: 21.4%","Control","""Patients in the control group received no education about spirituality.""","N/A","27.85","28","5.98","28.39","28","6.41"
"596","Salamizadeh 2017",2017,"Spiritual care education (intervention)","Support for carers","Information, education, and training to support carers","Iran","City of Rafsanjan (Iran). Participants (family caregivers) were recruited from private neurologists' offices.","Alzheimer's Disease","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","47.38","80.8","Housewife: 61.5%; Other: 38.5%","Spiritual care education sessions, 1x per week for 5 weeks","""The  intervention  included  five  SC educational  sessions  held  weekly  for  five consecutive weeks. The length of each session ranged from 45 to 60 minutes. All sessions wereheld by the first author. The educational package had already been developed by Reyhani et al.32It includes topics such as reliance on God, seekinghelp from holy people, patience, generosity, altruism, mantra, and prayer. This package has been approved by clergies and university instructors. In sessions one to five, we explained  the roles of reliance on God, seeking help from holy people, patience,generosity, and mantra and prayer in maintaining or regaining the inner peace.""","Intervention for carers","32.73","26","4.75","29.80","26","4.80"
