"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.Educational.level.(indicate.how.this.was.measured)","Baseline.Female.(percent)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","ADCQ.3.month.follow-up.Mean","ADCQ.3.month.follow-up.N","ADCQ.Baseline.Mean","ADCQ.Baseline.N","ADCQ.Post-test.Mean","ADCQ.Post-test.N","ADKS.3.month.follow-up.Mean","ADKS.3.month.follow-up.N","ADKS.Baseline.Mean","ADKS.Baseline.N","ADKS.Post-test.Mean","ADKS.Post-test.N","DCAS-Heartfelt.3.month.follow-up.Mean","DCAS-Heartfelt.3.month.follow-up.N","DCAS-Heartfelt.Baseline.Mean","DCAS-Heartfelt.Baseline.N","DCAS-Heartfelt.Post-test.Mean","DCAS-Heartfelt.Post-test.N","DCAS-Heartsink.3.month.follow-up.Mean","DCAS-Heartsink.3.month.follow-up.N","DCAS-Heartsink.Baseline.Mean","DCAS-Heartsink.Baseline.N","DCAS-Heartsink.Post-test.Mean","DCAS-Heartsink.Post-test.N"
"571","Wang 2017e",2017,"Control","No intervention","No intervention","China","14 community health centres in a province in China","Dementia (general/unspecified)","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","College: 69.4%, Bachelor 30.6%","83.5","No intervention","No intervention","No intervention",NA,NA,5.33,85,5.33,85,NA,NA,19.36,85,19.68,85,NA,NA,16.26,85,15.95,85,NA,NA,11.58,85,11.5,85
"572","Wang 2017e",2017,"The Dementia Education and Knowledge Translation Programme","Training and education for carers","Training and education for professional carers","China","14 community health centres in a province in China","Dementia (general/unspecified)","Dementia","Not specified","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","College: 67.1%, Bachelor 32.9%","82.4","nurse-led dementia education and knowledge translation programme
for health professionals in primary care. Training the trainer workshop over 3 days targeted at GPs and nurses in community health centres","Each community health service centre appointed a RN and a GP as
trainers in the programme. The project team delivered 10 modules to
these trainers in a 3-day face-to-face education workshop. Teaching
and learning resources for the trainers included a workbook and four
DVDs. The project team provided ongoing support for the trainers
through email, telephone and site visits during the programme implementation phase. Trainers in the intervention group delivered the education programme to their peers in their centres using weekly in-service education hours. Participants were also required to undertake self-study to
complete the required readings. The trainers provided learning support
to reinforce knowledge and skills using newsletters and messages on
the notice board. The trainers in the control group agreed to deliver the education programme after the data collection","Intervention for carers",7.94,85,5.12,85,9.58,85,24.14,85,19.29,85,23.47,85,17.62,85,16.2,85,17.08,85,8.03,85,11.67,85,9.43,85
