"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.For.studies.in.carers.only:.Caregiver.age.in.years.(mean)","Baseline.For.studies.in.carers.only:.Caregiver.female.(percent)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","Positive.aspects.of.caregiving.12.weeks.mean","Positive.aspects.of.caregiving.12.weeks.N","Positive.aspects.of.caregiving.12.weeks.SD","Positive.aspects.of.caregiving.20.weeks.mean","Positive.aspects.of.caregiving.20.weeks.N","Positive.aspects.of.caregiving.20.weeks.SD","Positive.aspects.of.caregiving.8.weeks.mean","Positive.aspects.of.caregiving.8.weeks.N","Positive.aspects.of.caregiving.8.weeks.SD","Positive.aspects.of.caregiving.Baseline.mean","Positive.aspects.of.caregiving.Baseline.N","Positive.aspects.of.caregiving.Baseline.SD","Subjective.well-being.12.weeks.mean","Subjective.well-being.12.weeks.N","Subjective.well-being.12.weeks.SD","Subjective.well-being.20.weeks.mean","Subjective.well-being.20.weeks.N","Subjective.well-being.20.weeks.SD","Subjective.well-being.8.weeks.mean","Subjective.well-being.8.weeks.N","Subjective.well-being.8.weeks.SD","Subjective.well-being.Baseline.mean","Subjective.well-being.Baseline.N","Subjective.well-being.Baseline.SD"
"700","Orawan 2018",2018,"Enhancing positive aspects of caregiving program (EPACP)","Support for carers","Information, education, and training to support carers","Thailand","participants were recruited from three secondary medical care hospitals in the central part of Thailand.","Dementia (general/unspecified)","Dementia","Mild to moderate","Yes","some concerns","some concerns","low risk","high risk","some concerns","high risk","55.11","83.3","EPACP plus usual care. The program consistedof six groups sessions and one individual session",""" The
EPACP was developed based on the Kramer’s twofactor adaptation model4 and designed to increase
caregiving self-efficacy, spirituality, social support,
and maintain positive caregiving experiences for
family caregiver of the person with dementia. Strategies
used included information provision and skill training;
exploring spirituality; finding positive events in their
lives; mindfulness practice; positive reappraisal
activities; and goal setting practice all conducted through
group discussions and training. Individual counseling
was also given. A dementia caregiving booklet, role
model, and video were also used. The program consisted
of six groups sessions and one individual session. Three
groups of 15 family members met once a week, for 2
hours over 6 weeks. At week 7, the PI offered the
individual sessions (see details in Table 1).""","Intervention for carers","43.27","36","2.47","44.08","36","1.13","42.58","36","3.20","37.11","36","5.80","98.91","36","10.05","100.27","36","9.56","98.61","36","10.8","79.44","36","11.19"
"701","Orawan 2018",2018,"Usual care (Control Group)","No intervention","No intervention","Thailand","participants were recruited from three secondary medical care hospitals in the central part of Thailand.","Dementia (general/unspecified)","Dementia","Mild to moderate","Yes","some concerns","some concerns","low risk","high risk","some concerns","high risk","55.66","72.2","Usual care which included health education or suggestions fromnurses and other professionals at psychiatric clinicsof hospital or at home.","""For the
control group, participants received only usual care
which included health education or suggestions from
nurses and other professionals at psychiatric clinics
of hospital or at home. ""","N/A","37.36","36","5.89","37.75","36","3.86","39.19","36","4.52","37.19","36","6.03","99.80","36","11.25","98.91","36","11.23","100.11","36","10.49","79.77","36","11.02"
