"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Primary.Cognition.Measure.standardized.z-score.change","Type","Baseline.Score.-.Primary.Cognition","Number.of.Participants.at.Baseline","Baseline.SD","Post.Treatment.Score","Post.Treatment.N","Post.Treatment.SD","Post.Treatment.Time.(Months.from.Start)","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.Educational.level.(indicate.how.this.was.measured)","Baseline.Female.(percent)","Baseline.MMSE.score.(mean)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","MMSE.After.intervention.(12.months.after.the.start.of.intervention).SD","MMSE.After.intervention.(12.months.after.the.start.of.intervention).Mean","MMSE.Baseline.SD","MMSE.Baseline.Mean"
"557","Yang 2017a",2017,"对照组","No intervention","No intervention","China","Community ","Dementia (general/unspecified)","Dementia","Moderate to severe","No Info. ","MMSE","Raw","9.85","70","1.89","13.27","70","3.02","12","some concerns","high risk","high risk","high risk","some concerns","high risk","10.99","54.3",9.85,"Regular medicine and Psychological Health Promotion for 12 months","""只给予药物治疗 和一般的心理健康知识宣传（即指通过各类媒体、各种方 式开展的心理健康知识宣传，如心理健康知识的宣传板 报、宣传册、进社区的心理卫生知识讲座、心理健康义 诊等） ""","Medicine + Psychological Health Promotion",3.02,13.27,1.89,9.85
"558","Yang 2017a",2017,"干预组","Comprehensive care interventions","Community-based interventions","China","Community ","Dementia (general/unspecified)","Dementia","Moderate to severe","No Info. ","MMSE","Raw","9.8800000000000008","71","2.33","14.97","71","3.03","12","some concerns","high risk","high risk","high risk","some concerns","high risk","Mean: 11.06 year; SD: 6.30 years","56.3",9.88,"Medicine, Psychosocial and non-pharmacy in-home intervention for 12 months ","""1.2.1 家庭医疗工作模式 精神科医师上门服务同时整 合多学科团队成员（疾控精神卫生分中心工作人员、心理 治疗师、康复治疗师、老年护理师等） ，对照料者、社区 家庭医生、社会工作者等进行痴呆卫生宣教，利用社区的 家庭医生制工作模式，争取各居委会和社区卫生服务中心 的支持，同时对患者和照料者实施心理社会干预。 1.2.2 心理社会干预内容 ①对痴呆照料者培训，内容包 括什么是痴呆及 BPSD，其疾病进程的一般规律，有效的 治疗方法和时机，护理要点、护理技巧和注意事项，患者 生活环境的布置，同患者交流的技巧等，以提高患者的服 药依从性，减少并发症，并接受照料者的倾诉，指导其放 松，加强心理支持和辅导。对患者灵活采用行为干预，如 日常生活能力训练、音乐疗法、怀旧和人生回顾、记忆训 练等 [2-3]，并调整其居住环境的布置。②在患者急性期每周 家访，调整药物，听取照料者及家属的意见，提出合理建 议。③待病情稳定后，采取每周电话随访、每月上门随访 方式，针对存在严重疾病或行动不便者给予更高程度的关 注，适当增加探访频率以降低其风险概率。 1.2.3 干预形式 ①对社区相关人员进行培训，发放相关 宣传材料500 份。②建立老年痴呆家庭的自助互助小组， 互相分享讨论心得体会，举办家庭成员活动。③开展每半 年 1 次的相关人员座谈协调会，讨论干预过程中遇到的问 题及解决方案。""
","Medicine +Psychosocial intervention",3.03,14.97,2.33,9.88
