"","Study.Identifier","Year","Intervention","Intervention.types","Intervention.subgroups","Country","Setting","Types.of.disease_clean","Type.of.disease.in.two.categories.(dementia.and.MCI)","Updated.Dementia.Severity","Is.this.a.study.focusing.on.carers.of.people.living.with.dementia.or.mild.cognitive.impairment?","Domain.1","Domain.2","Domain.3","Domain.4","Domain.5","Overall","Baseline.Educational.level.(indicate.how.this.was.measured)","Baseline.For.studies.in.carers.only:.Caregiver.age.in.years.(mean)","Baseline.For.studies.in.carers.only:.Caregiver.female.(percent)","Intervention.Brief.description.of.intervention","Intervention.Intervention.details","Intervention.Interv..type.[SELECT:.Pharmaceutical;.Traditional.Chinese.Medicine;.Other.trad..medicines;.Non-pharmacol.;.Multicomponent.(record.each.component);.Interv..for.carers;.End.of.life.care;.Treatment/prevention.of.co-morbidities;.Technology;.Diagn","Zarit.Burden.Scale.(ZBS).After.intervention.mean","Zarit.Burden.Scale.(ZBS).After.intervention.N","Zarit.Burden.Scale.(ZBS).After.intervention.SD","Zarit.Burden.Scale.(ZBS).Baseline.mean","Zarit.Burden.Scale.(ZBS).Baseline.N","Zarit.Burden.Scale.(ZBS).Baseline.SD"
"453","Kamkhagi 2015",2015,"Body awareness therapy (BAT)","Support for carers","Information, education, and training to support carers","Brazil","psychogeriatric clinic of a tertiary hospital in Brazil (Institute of Psychiatry, Faculty of Medicine, Uni-versity of Sao Paulo","Alzheimer's Disease","Dementia","Mild to moderate","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","94% high school or higher","55.7","70","Body Awareness Therapy once a week in a total of 14 group sessions of 90 minutes of duration each.","""The facilitators of BAT sessions were a physical therapist and a psychologist."" ""The BAT intervention was designed according to the “Func-tional Symbolic Dynamics” methodology, created by Marcia Taques Bittencourt17, which has as a major goal to bring the patient to bodily self-awareness. This intervention started with a physical evaluation by the therapist and uses several physiotherapeutic backgrounds such as calatonia, eutonia, feldenkrais, relaxing, somatic experience, spontaneous movements and dance. Petho Sándor18 established in 1974 the basis for the utilization of soft touches in specific points, which uses the high potential of the skin sensitivity, promoting a multi-sensorial experience, physical and psychological rebalancing, and leading the recipients of the intervention to pay more attention to themselves. Body relaxation is considered a psychophysiological reconditioning method. In eutonia, through attention and self-observation, using auxiliary objects, the individual can get in contact with his/her internal rhythm. The sequence of Feldenkrais slow movements will explore the patterns and limits of the body. During the sessions, some tools were used to awaken new perceptions, such as: bed linen, clay, little balls and drawings.""","Non-pharmacological intervention","37.1","17","9.8","48.9","17","15.1"
"454","Kamkhagi 2015",2015,"Psychodynamic group therapy (PGT)","Support for carers","Group support and therapy","Brazil","psychogeriatric clinic of a tertiary hospital in Brazil (Institute of Psychiatry, Faculty of Medicine, Uni-versity of Sao Paulo","Alzheimer's Disease","Dementia","Mild to moderate","Yes","some concerns","high risk","high risk","high risk","some concerns","high risk","85% high school or higher","62.1","75","Psychodynamic group therapy once a week in a total of 14 group sessions of 90 minutes of duration each.","""In the PGT group, several aspects of the caregiver roles were dealt with through the intervention program, reinforcing their resilience abilities. The most frequent aspects, usually raised spontaneously by participants (otherwise prompted by facilitators) were: loneliness and helplessness associated with the caregiver’s role, occurrence of family conflicts, and changing roles within the family dynamics. Participants were encouraged by the facilitators to get in contact with their feelings of sadness, frustration, anger and guilt, and to further name and elaborate the feelings they experience when dealing with these situations. In the first moment, the participants were asked to think about their previous relationship with the patient under their care, as it used to be before the onset of dementia, and then to update this notion to the present reality, thus enabling the elaboration of new ways to maintain an affectionate caring relationship with their relative. In a second moment, facilitators of the PGT group worked on other roles that the caregiver used to play in the family dynam-ics before the onset of the illness, and the necessary adaptations to the present time, particularly due to the necessity of performing unwanted roles and having to abandon (or at least cutback) the engagement in other competing roles. Some effort is dedicated by fa-cilitators to establish and reinforce empathy with the difficulties faced by the subject, discussing strategies to better cope with the various sources of burden of care. Towards the completion of the program, facilitators discuss the lack of recognition of the caregiver’s efforts by other family members and encourage participants to nominate their perceived and unattended rights; this “caregiver declaration of rights” usually warrants them a place of existence and gratefulness for their feelings and concerns.""","Non-pharmacological intervention","24.0","20","7.7","35.3","20","12.8"
