token_address,pool_address,max_weth,first_sync_block,last_sync_block,max_liq_block,max_price_block,total_activity,activity_from_max_to_min,activity_from_min,inactive,liq_MDD,liq_RC,price_MDD,price_RC,late_creation
0x06AF07097C9Eeb7fD685c692751D5C66dB49c215,0x12EDE161c702D1494612d19f05992f43aa6A26FB,5.254308349837611,10014178,13133183,12568090,10126055,751,0.10918774966711052,0.02130492676431425,0,-0.9636376570780351,0.00012503523208055257,-0.9637025244310812,0.024110278385255115,0
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,0xB6909B960DbbE7392D405429eB2b3649752b4838,5837.814883761126,10061933,13151884,10351380,10319420,54741,0.8835607679801246,0.0006759101952832429,0,-0.9703269571134684,0.0001755579330499532,-0.9090877050295663,0.021759311234597824,0
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,1065241.1452921652,10091132,13152078,11164462,10315796,336434,0.7719285208986012,0.00018428577373273808,0,-0.9988614652220248,1.386539767032507e-07,-0.7470640449630426,0.013332589247506915,0
0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,0x9896BD979f9DA57857322Cc15e154222C4658a5a,223.64700579009246,10091280,13145621,11733430,10091574,3388,0.05814639905548996,0.30578512396694213,0,-0.9954854384135633,0.04679876873434616,-0.9836707592357777,0.009814876513584316,0
0x5e74C9036fb86BD7eCdcb084a0673EFc32eA31cb,0x598E740cda7C525080d3FCb9Fa7C4E1bd0044B34,1287.087769017102,10091385,13142645,10391569,11768526,3887,0.8574736300488809,0.008232570105479805,0,-0.9988474201056926,5.257233728153207e-05,-0.3748713874074552,0.7434430908294363,0
0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0x43AE24960e5534731Fc831386c07755A2dc33D47,90987.29895677976,10091387,13152007,10785525,10745831,153497,0.7156621953523522,0.0065147853052502655,0,-0.99988691943216,9.040626312871015e-07,-0.8587346680929682,0.017876971123949845,0
0x4D13d624a87baa278733c068A174412AfA9ca6C8,0x231F3381D10478BfC2cA552195b9d8B15968B60c,100.34622128444296,10091396,13140709,10091396,10531294,693,0.0,1.0,0,0,0,-0.9995460647452402,0.0007521736415393132,0
0x86FADb80d8D2cff3C3680819E4da99C10232Ba0F,0x3b0F0fe3Be830826D833a67cD1d7C80edF3Fb49b,482.12994406554554,10091413,13124827,11232981,10143283,531,0.0018832391713747645,0.4143126177024482,0,-0.27175565481216624,0.15931012128810235,-0.9999991851996533,4.101266832738334e-06,0
0x4470BB87d77b963A013DB939BE332f927f2b992e,0x67660E35fee501d0876B9493bb5eC90E10675957,325.02288550024747,10091416,12890830,10607161,11135437,812,0.3522167487684729,0.03201970443349754,1,-0.9999999618252128,1.99777999403832e-09,-0.9999850563195753,0.007179869106329773,0
0x3A9FfF453d50D4Ac52A6890647b823379ba36B9E,0x260E069deAd76baAC587B5141bB606Ef8b9Bab6c,240.05786801719398,10091421,13144349,11149815,10209900,2751,0.11014176663031625,0.0058160668847691745,0,-0.9534932381013523,7.024486575313613e-05,-0.9816596049721501,0.008567204978574152,0
0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009,0x5D27dF1a6E03254E4f1218607D8E073667ffae2F,0.7639206957949328,10091424,13126484,10440260,10099701,160,0.00625,0.8875,0,-0.9999999111313399,0.003705502457788175,-0.999984607933262,0.00011615592193016256,0
0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,0xB784CED6994c928170B417BBd052A096c6fB17E2,324.2534751002438,10091427,13151338,11808090,10647226,13119,0.313743425565973,0.007317630916990624,0,-0.8409147415241532,0.0008027576332569551,-0.9646628828627556,0.001442552574625215,0
0x514910771AF9Ca656af840dff83E8264EcF986CA,0xa2107FA5B38d9bbd2C461D6EDf11B11A50F6b974,120900.00732292751,10091428,13152293,10785484,10653567,309342,0.03247861590084761,0.7637760148961343,0,-0.9974578683718689,0.022869450600528102,-0.8453068830404945,0.010075081872260977,0
0xC0F9bD5Fa5698B6505F643900FFA515Ea5dF54A9,0x718Dd8B743ea19d71BDb4Cb48BB984b73a65cE06,253.63668325239732,10091430,13150693,11789297,11752821,18705,0.17054263565891473,0.03437583533814488,0,-0.6188308876015678,0.01387286588480187,-0.9720859778488065,0.007983082428756031,0
0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,0x55D5c232D921B9eAA6b37b5845E439aCD04b4DBa,13169.744984522784,10091432,13152270,11124810,12833804,241119,0.6630750791103148,0.18125489903325745,0,-0.9993960990870344,0.0003016266644199482,-0.6873893204888185,0.4434242689005332,0
