Probe,PROT,DMD_1,DMD_2,DMD_3,DMD_4,DMD_5,DMD_6,DMD_7,DMD_8,DMD_9,DMD_10,DMD_11,DMD_12,DMD_13,DMD_14,DMD_15,DMD_16,DMD_17,DMD_18,DMD_19,DMD_20,DMD_21,DMD_22,NOR_1,NOR_2,NOR_3,NOR_4,NOR_5,NOR_6,NOR_7,NOR_8,NOR_9,NOR_10,NOR_11,NOR_12,NOR_13,NOR_14
1487_at,P11474,8.513946533,7.879563332,8.357703209,8.284715652,7.984920979,8.02567482,8.3617239,8.090029716,8.075866699,8.264602661,8.157885551,8.410754204,8.445979118,8.616483688,8.337521553,8.274237633,8.614295959,7.97305727,8.581726074,8.70028019,8.277984619,8.40636158,8.469408989,8.951313019,8.241091728,8.280765533,8.772146225,8.315439224,8.513341904,8.578058243,8.343144417,8.72982502,8.869158745,8.738095284,8.751873016,8.403704643
200013_at,P83731,12.13030338,11.5549221,11.65432549,12.08771801,11.7119894,11.55279255,11.95306587,12.14219475,11.70763493,11.93207073,12.02532578,12.08366108,12.10214233,11.99712753,11.33875942,12.1534214,12.19867516,11.20491314,11.90100956,11.94542313,11.42641258,11.66229343,11.36732101,12.05060577,11.7440424,11.6867094,12.30572128,11.18342781,12.05530071,12.02341175,11.29373646,12.01342678,11.94630814,11.88671112,11.56225681,10.9032259
200024_at,P46782,12.01430321,10.91574192,11.12501907,11.91520023,11.33999348,11.62847042,11.57150364,11.86093903,11.37192154,12.04493427,11.80476284,11.87347317,11.67051792,11.80967903,10.99341774,12.04588699,11.97143364,10.89037323,11.7658453,11.97579479,10.72764015,11.45814323,11.7145977,11.82018471,11.76827621,11.84126282,11.63325977,10.99291515,11.98923588,11.60744286,10.98243618,11.63814449,11.28695583,11.53783703,11.55897808,10.75570679
200041_s_at,Q13838,10.00679779,9.8260355,9.951919556,10.32445812,10.37726116,10.12591553,9.713636398,10.26283836,9.926743507,10.64679432,10.21193218,9.980114937,10.36278152,10.32800102,9.454033852,10.329669,10.43491936,9.7641716,10.21701717,10.5742054,9.513631821,9.855233192,10.03328705,10.32740116,10.15305328,9.6863451,10.61723804,9.472943306,10.09827423,10.50635338,9.30009079,10.1436758,10.20029449,9.959960938,10.07180882,9.253519058
200054_at,O75312,7.605543613,7.719555855,7.661445618,7.780823231,7.678334236,7.551614761,7.661445618,7.683805466,7.66966486,7.904797554,7.531010151,7.787158012,7.80134201,7.961902142,7.631334782,7.838776112,7.873336792,7.427932739,7.606323242,7.446551323,7.371088505,7.782108784,7.846547127,7.855307579,7.614965439,7.677700043,7.904770374,7.290652752,7.661445618,7.471518517,7.661445618,7.664444923,7.627511024,7.525648594,7.635799885,7.481396198
200062_s_at,P62888,12.56882286,12.26528454,12.02967167,12.23324013,12.11488724,12.04491043,12.2811327,12.290061,12.16084385,12.23453331,12.43068027,12.48115826,12.23285961,12.2113142,11.98595619,12.35713863,12.51322269,11.81148338,12.28311729,12.10698795,11.73946857,12.11919403,12.07390213,12.70836258,12.49425602,12.47453499,12.60371208,12.32186794,12.57071972,12.27949619,12.02474785,12.41278744,12.33105183,12.2850666,12.2203989,11.83407307
200067_x_at,O60493,10.46416092,9.802309036,9.637291908,10.15121746,10.21499443,9.753660202,9.628802299,9.631026268,9.419855118,10.51591873,9.525679588,9.668721199,10.16029167,9.709236145,9.250865936,9.593615532,9.881495476,9.812661171,9.985528946,10.11455631,9.49439621,9.737789154,9.620567322,10.12724304,9.690223694,9.703879356,10.08870506,9.62737751,9.8517313,10.30834007,9.107333183,10.32923985,10.56018829,10.06484604,10.01686287,9.571474075
200069_at,Q15020,5.939687252,6.381222725,6.157248497,6.110552311,6.251516342,6.59692955,6.18073082,6.210008144,6.21391964,6.165284634,6.315466881,6.147547245,6.319942951,6.062996864,6.199961185,6.173248768,6.15161562,6.751523018,6.236789703,5.984265327,6.200460911,6.199961185,6.020525455,6.672907352,6.249576569,6.26962328,6.216472626,6.162419319,6.198063374,6.124585152,6.129041195,6.197064877,6.24131012,6.134880066,6.099952698,6.189965725
200657_at,P05141,10.15402889,10.04509735,9.077183723,9.623287201,9.510810852,9.21086216,9.313799858,9.225920677,9.31144619,9.699755669,9.01662159,9.285059929,9.622461319,9.883490562,8.491258621,10.09781742,9.22668457,9.126716614,9.746826172,9.336826324,8.744524956,9.332421303,8.56878376,9.24804306,8.793737411,7.819113255,8.965396881,8.47633934,8.795052528,8.711785316,8.283698082,8.29810524,8.824104309,8.422739983,9.26927948,7.941095829
200678_x_at,P28799,9.269974709,9.949851036,8.809639931,9.31816864,8.845892906,8.879031181,8.739502907,9.358860016,8.704766273,9.396848679,9.357778549,9.332795143,9.047996521,9.853631973,9.016575813,9.664207458,9.60525322,9.196531296,9.592370033,9.177835464,8.582904816,9.082846642,8.285051346,8.347961426,8.428005219,8.27212429,8.716337204,7.772941113,8.678142548,8.655179977,8.005622864,8.865468025,8.148566246,8.524097443,8.929229736,8.063434601
200689_x_at,P26641,12.61655903,12.45371437,12.57824898,12.59774208,12.3203125,12.96849918,12.48193455,12.71500778,12.53581619,12.66878033,12.54160023,12.88619041,12.7420845,12.72031498,12.46140575,12.64090538,12.89595318,12.2622242,12.77358437,12.78848171,12.22078514,12.59322071,12.67083073,12.80034161,12.59941006,12.53202343,12.6158247,12.69625282,13.05034447,12.78501797,12.73985195,13.16758251,12.93933105,12.78183556,12.80064106,12.51091862
200716_x_at,P40429,12.74309921,12.6672411,12.81405163,12.91588974,12.77291012,12.8756237,12.73252487,13.28966522,12.82280636,13.1445713,12.95060349,13.21410847,13.0223856,12.97511387,12.71211243,13.06182098,13.05522251,12.59594345,12.94585705,12.92734909,12.6051321,12.92220306,12.96988392,12.84455776,12.81283379,12.91588974,12.76034546,12.82779026,13.22635937,12.94866562,12.7327261,13.09013557,12.96707439,12.92256451,12.854743,12.37114811
200822_x_at,P60174,11.37951946,10.76174641,11.35349655,11.28845119,11.30889034,10.7661581,11.34244919,10.63479614,10.99055004,11.27380562,10.75873089,11.22538662,11.25195026,11.34414101,10.77615261,11.1876421,11.17365646,11.08052349,11.64476681,11.83669186,11.09371471,11.61298275,11.52005863,11.04590416,11.31122589,11.11315155,11.6582098,11.73064041,11.30334377,11.76969433,10.83522415,11.52063847,11.80940342,11.70804787,11.95102596,11.42540359
200831_s_at,O00767,9.206684113,9.733270645,8.445665359,11.48986149,8.881259918,8.425976753,8.004081726,9.531264305,8.810350418,8.779108047,8.569770813,8.186532021,7.94713068,8.471113205,8.671473503,8.390834808,8.159537315,8.36865139,8.633494377,10.11266804,8.601845741,8.42855835,9.601146698,8.437791824,10.73842621,8.947076797,11.0492506,8.320292473,8.502301216,8.083333969,8.446759224,7.77127552,9.175374031,8.137641907,8.28378582,8.458557129
200832_s_at,O00767,8.045017242,9.239825249,7.12336731,10.86746502,7.743861675,6.587375641,6.695503712,8.39936161,7.454769135,7.27761364,6.634332657,6.838190079,6.520455837,7.247794628,6.581651211,6.902850151,6.339017391,6.925143719,7.162799835,10.15389442,7.572288513,6.864889145,7.678643227,6.94075346,10.27604294,6.89745903,10.29363251,6.200910568,6.653569221,6.00799036,6.523709297,5.751198769,8.412117958,6.661146164,5.939023018,6.526204586
200853_at,P0C0S5,8.538660049,7.769721508,7.60130167,8.236520767,7.947464466,8.320775986,7.179699421,7.678769588,7.74853611,8.347098351,7.94470787,7.85240221,7.915786266,7.628679276,6.935980797,7.987139225,8.480091095,7.885366917,7.875085831,7.800554752,6.876261711,7.519833565,7.638638496,7.790488243,7.880792618,7.795952797,8.112849236,7.057040691,7.449389935,8.019338608,6.743979931,7.79276228,7.951406479,7.696651459,8.236667633,7.184764862
200869_at,Q02543,12.00640011,10.82350063,11.18602562,11.46861267,10.53624153,11.20546722,11.41013527,11.87180138,11.32564831,11.18040371,11.79750538,12.35664272,11.39583492,11.76606274,11.14442253,12.13278198,11.80282497,10.50897217,11.75807571,11.29704094,10.66379929,10.90790749,11.74484348,11.6832428,11.74032879,11.47131252,11.34663486,10.9454155,12.11789322,11.1908102,11.11483097,11.34849644,10.55783844,10.71255684,10.84283066,10.27664375
200880_at,P31689,8.813440323,8.263382912,8.181325912,8.674080849,8.478775978,8.322416306,8.274193764,8.010177612,7.866747856,8.33847332,7.905249119,8.071888924,9.375074387,7.8602705,7.456859589,8.23870945,8.330305099,8.076500893,8.04539299,7.889100075,7.785925865,7.967550755,7.766781807,8.974169731,7.715422153,7.578155994,8.164798737,8.073861122,7.488454819,7.688192844,7.70057869,8.145751953,8.076500893,8.152843475,7.929977417,8.068621635
200904_at,,9.220395088,9.377318382,9.194373131,9.57665062,8.972854614,8.050733566,8.919872284,9.562875748,9.384819031,9.459532738,10.46037769,9.800498009,9.435344696,9.590167999,9.963844299,9.790146828,10.5006094,9.246821404,9.765735626,9.220802307,8.968128204,8.915235519,8.97127533,8.951470375,8.761878014,8.939081192,9.512878418,8.399032593,8.919780731,9.424048424,8.594986916,9.215752602,9.2328825,9.024586678,9.277935982,8.305345535
