"","Study.Identifier","Country","Caregiver.intervention.type","Caregiver.intervention.subgroups","Effect.measure","Measurement.method","Measurement.type","Duration","Measurement.point","Treatment.duration","Overall","Expt_Pre_mean","Expt_Pre_N","Expt_Pre_SD","Expt_Post_mean","Expt_Post_N","Expt_Post_SD","Ctrl_Pre_mean","Ctrl_Pre_N","Ctrl_Pre_SD","Ctrl_Post_mean","Ctrl_Post_N","Ctrl_Post_SD","mean.effect","variance","standard_error"
"1","Govindakumari 2020","India","Cognitive-behavioural intervention","CBT","Caregiver burden","Unspecified.0","Raw","1 month",30,"30","high risk",54.14,157,5.38788455704092,19.61,157,3.63368958498108,55.36,157,5.63848383876375,53.87,157,6.13968240220942,-6.23671870089398,0.114239211007122,0.337992915616765
"2","Mercedeh 2014","Iran","Cognitive-behavioural intervention","CBT","Caregiver burden","Caregiver burden inventory","Raw","post-intervention (5 weeks)",35,"35","high risk",31.6,10,16.36,24,10,14.25,25.3,10,7.33,44.7,10,13.71,-1.93767445513983,0.944743313864316,0.971979070692531
"3","Chen 2020","China","General support","GS","Patient activities of daily life","BADL","Raw","12 months",365,"365","high risk",14.53,51,1.77,11.41,51,1.08,15.02,51,1.82,9.31,51,1.52,1.63211309804818,0.175640554384981,0.419094922881417
"5","Chen 2020","China","General support","GS","Patient cognitive function","MoCA","Raw","12 months",365,"365","high risk",17.76,51,3.68,14.64,51,2.38,17.04,51,3.52,12.59,51,2.7,0.423351000053662,0.162925387285425,0.403640170554698
"7","Chen 2020","China","General support","GS","Patient neuropsychiatric symptoms","BEHAVE-AD","Raw","12 months",365,"365","high risk",19.32,51,3.53,7.21,51,2.88,19.47,51,3.37,10.37,51,2.17,-0.984623965583752,0.166363295305178,0.407876568713107
"9","Ghaffari 2019","Iran","Cognitive and functional training","CFT","Caregiver anxiety","GHQ-28","Raw","8 weekly sessions (The GHQ was completed before and 35 - 40 days after the intervention in both groups)",91,"56","high risk",11.6,27,2.8,3.4,25,1.5,10.04,27,4.02,10.5,25,3.7,-2.69752926341407,0.411478128142891,0.641465609477929
"11","Ghaffari 2019","Iran","Cognitive and functional training","CFT","Caregiver depression","GHQ-28","Raw","8 weekly sessions (The GHQ was completed before and 35 - 40 days after the intervention in both groups)",91,"56","high risk",4.5,27,3.04,0.4,25,0.7,4.8,27,3.6,5.08,25,3.7,-1.42951162300512,0.444047262404455,0.666368713554632
"13","Ghaffari 2019","Iran","Cognitive and functional training","CFT","Caregiver mental health","GHQ-28","Raw","8 weekly sessions (The GHQ was completed before and 35 - 40 days after the intervention in both groups)",91,"56","high risk",39.9,27,8.4,16.08,25,3.7,32.04,27,7.02,32.9,25,7.2,-3.56844855030492,0.479890162163246,0.692741049861523
"15","Mahdavi 2017","Iran","Miscellaneous","MISC","Caregiver burden","Robinson's Caregiver Strain Index","Raw","post-intervention (5 weeks)",35,"35","high risk",36.75,32,1.35,36.64,28,1.28,37.58,35,1.64,37.19,31,1.53,0.188720110413493,0.272456193781416,0.521973365011488
"16","Mahdavi 2017","Iran","Miscellaneous","MISC","Caregiver burden","Robinson's Caregiver Strain Index","Raw","post-intervention (5 weeks)",35,"35","high risk",37.1599999999999,33,1.26,32.43,30,2.73,37.58,35,1.64,37.19,31,1.53,-2.289964647364,0.327563237136534,0.57233140498887
"17","Govindakumari 2020","India","Cognitive-behavioural intervention","CBT","Patient quality of life","Unspecified.1","Raw","1 month",30,"30","high risk",180.24,157,20.5491411012723,279.73,157,17.1660507980141,180.88,157,20.9250400238566,182.36,157,22.8045346367778,4.77823004909795,0.0877406538773633,0.296210489141359
"37","Hinton 2020","Vietnam","Multi-component intervention","PEI, CBT, CCM, CFT","Caregiver burden","ZBI","Raw","3 months",90,"35","low risk",6.7,25,2.1,2.9,25,2.4,6.8,26,2.3,5.5,26,3.4,-0.944715651725754,0.329537098442198,0.574053219172402
"38","Lin 2017","China","Multi-component intervention","PEI, CCM, GS","Caregiver burden","Caregiver burden inventory","Raw","3 months",90,"90","some concerns",53.51,39,16.1,33.64,39,15.49,56.46,39,9.18,58.26,39,10.6,-1.62678733452641,0.223003114930769,0.472232056229529
"39","Hinton 2020","Vietnam","Multi-component intervention","PEI, CBT, CCM, CFT","Caregiver mental health","PHQ-4","Raw","3 months",90,"35","low risk",4.1,25,3,0.9,25,1,4.6,26,2.8,2.9,26,2.8,-0.581583899555606,0.370600000954617,0.608769250993032
"42","JIANG 2012","China","Multi-component intervention","PEI, CBT","Patient cognitive function","MMSE","Raw","12 months",365,"365","some concerns",18.3099999999999,48,3.63,22.08,48,6.15,18.52,48,3.4,20.33,48,3.49,0.449803308054406,0.173677942984986,0.416746857198691
"43","Shata 2017","Egypt","Multi-component intervention","PEI, CBT, GS","Caregiver burden","ZBI","Raw","3 month follow-up",146,"56","high risk",52.1,55,15.1,-17.4,55,8.38,50,59,12.6,0.74,59,0.84,-1.88968585729844,0.384355727375953,0.619964295242842
"45","Lin 2017","China","Multi-component intervention","PEI, CCM, GS","Caregiver quality of life","WHO-QoL-Bref","Raw","3 months",90,"90","some concerns",48.82,39,7.83,55.04,39,5.88,48.67,39,4.2,46.77,39,4,1.41283257833585,0.220359636290243,0.469424793007616
