# CNN model parameters:
# patch_size = 28
# num_instances = 32
# num_features = 10
# batch_size = 20
# num_samples_per_class = 5
# num_classes = 4
# subset_length = 10
# ucc_start = 1
# ucc_end = 4
# learning_rate = 0.0001
# num_steps = 1000001
# save_interval = 1000
# metrics_file = loss_data/step_loss_acc_metrics__2022_01_20__16_17_29__0123456789.txt
# init_model_file = None
# step	train_ucc_acc	train_ucc_loss	val_ucc_acc	val_ucc_loss	train_ae_loss	val_ae_loss	train_loss_weighted	val_loss_weighted
520	0.500	0.949	0.700	0.901	0.330	0.359	0.639	0.630
530	0.500	1.020	0.550	0.986	0.342	0.355	0.681	0.670
540	0.450	0.956	0.650	0.911	0.358	0.331	0.657	0.621
550	0.500	1.004	0.750	0.961	0.354	0.343	0.679	0.652
560	0.550	0.886	0.450	1.047	0.339	0.339	0.612	0.693
570	0.450	0.981	0.550	0.990	0.338	0.336	0.659	0.663
580	0.650	0.908	0.650	0.911	0.344	0.334	0.626	0.623
590	0.600	0.900	0.450	0.985	0.333	0.350	0.616	0.667
600	0.550	0.978	0.550	0.903	0.352	0.337	0.665	0.620
610	0.500	0.940	0.750	0.886	0.337	0.331	0.638	0.609
620	0.700	0.826	0.550	0.925	0.315	0.324	0.570	0.625
630	0.550	0.959	0.550	0.923	0.330	0.321	0.645	0.622
640	0.700	0.891	0.700	0.914	0.319	0.331	0.605	0.623
650	0.700	0.864	0.650	0.917	0.312	0.316	0.588	0.617
660	0.600	0.861	0.700	0.892	0.309	0.318	0.585	0.605
670	0.550	0.931	0.600	0.910	0.317	0.338	0.624	0.624
680	0.650	0.848	0.500	0.949	0.318	0.333	0.583	0.641
690	0.650	0.855	0.500	0.921	0.309	0.326	0.582	0.623
700	0.550	0.925	0.500	0.872	0.313	0.316	0.619	0.594
710	0.550	0.898	0.450	0.908	0.315	0.327	0.606	0.618
720	0.750	0.866	0.700	0.790	0.318	0.303	0.592	0.546
730	0.750	0.795	0.550	0.872	0.303	0.324	0.549	0.598
740	0.650	0.868	0.650	0.876	0.316	0.306	0.592	0.591
750	0.550	0.881	0.650	0.984	0.324	0.300	0.603	0.642
760	0.500	0.994	0.700	0.795	0.323	0.310	0.658	0.553
770	0.500	0.908	0.650	0.799	0.318	0.313	0.613	0.556
780	0.600	0.818	0.600	0.838	0.314	0.329	0.566	0.583
790	0.600	0.830	0.600	0.814	0.304	0.314	0.567	0.564
800	0.700	0.870	0.750	0.805	0.307	0.308	0.589	0.556
810	0.650	0.783	0.700	0.790	0.295	0.290	0.539	0.540
820	0.600	0.870	0.800	0.747	0.314	0.301	0.592	0.524
830	0.650	0.790	0.550	0.852	0.291	0.292	0.540	0.572
840	0.700	0.774	0.800	0.820	0.306	0.321	0.540	0.570
850	0.700	0.771	0.700	0.874	0.317	0.295	0.544	0.585
860	0.600	0.806	0.700	0.799	0.299	0.308	0.553	0.553
870	0.650	0.930	0.550	0.870	0.301	0.299	0.616	0.585
880	0.650	0.817	0.650	0.809	0.307	0.299	0.562	0.554
890	0.500	0.839	0.600	0.771	0.305	0.314	0.572	0.542
900	0.650	0.757	0.800	0.738	0.292	0.299	0.525	0.519
910	0.600	0.831	0.800	0.751	0.307	0.302	0.569	0.526
920	0.550	0.928	0.750	0.774	0.302	0.298	0.615	0.536
930	0.700	0.782	0.600	0.847	0.298	0.304	0.540	0.576
940	0.700	0.807	0.850	0.714	0.306	0.298	0.556	0.506
950	0.750	0.711	0.600	0.834	0.295	0.296	0.503	0.565
960	0.650	0.807	0.700	0.760	0.297	0.300	0.552	0.530
970	0.650	0.745	0.700	0.772	0.277	0.308	0.511	0.540
980	0.600	0.798	0.750	0.710	0.305	0.287	0.552	0.499
990	0.800	0.694	0.850	0.708	0.279	0.294	0.486	0.501
1000	0.700	0.821	0.900	0.743	0.301	0.311	0.561	0.527
1010	0.650	0.798	0.700	0.750	0.297	0.292	0.548	0.521
1020	0.700	0.727	0.750	0.706	0.312	0.315	0.519	0.510
1030	0.600	0.751	0.800	0.758	0.298	0.289	0.524	0.523
1040	0.650	0.724	0.850	0.715	0.300	0.296	0.512	0.505
1050	0.650	0.787	0.800	0.684	0.285	0.299	0.536	0.492
1060	0.800	0.663	0.700	0.741	0.293	0.275	0.478	0.508
1070	0.650	0.843	0.650	0.744	0.265	0.301	0.554	0.522
1080	0.600	0.740	0.700	0.780	0.287	0.308	0.514	0.544
1090	0.850	0.585	0.600	0.737	0.271	0.293	0.428	0.515
1100	0.750	0.717	0.650	0.754	0.284	0.299	0.501	0.526
1110	0.550	0.879	0.750	0.771	0.288	0.291	0.584	0.531
1120	0.750	0.715	0.750	0.692	0.294	0.280	0.505	0.486
1130	0.800	0.655	0.850	0.672	0.286	0.285	0.471	0.479
1140	0.700	0.735	0.600	0.768	0.308	0.289	0.522	0.528
1150	0.700	0.713	0.700	0.670	0.291	0.278	0.502	0.474
1160	0.750	0.659	0.650	0.697	0.284	0.274	0.471	0.486
1170	0.800	0.655	0.750	0.668	0.268	0.273	0.461	0.470
1180	0.700	0.770	0.750	0.674	0.271	0.274	0.520	0.474
1190	0.850	0.675	0.800	0.648	0.282	0.272	0.479	0.460
1200	0.800	0.612	0.750	0.692	0.293	0.288	0.453	0.490
1210	0.800	0.652	0.500	0.745	0.276	0.290	0.464	0.518
1220	0.650	0.770	0.700	0.638	0.286	0.269	0.528	0.454
1230	0.800	0.694	0.700	0.686	0.277	0.287	0.485	0.486
1240	0.900	0.674	0.700	0.755	0.277	0.280	0.476	0.518
1250	0.850	0.579	0.650	0.734	0.266	0.292	0.422	0.513
1260	0.650	0.706	0.800	0.746	0.283	0.275	0.495	0.510
1270	0.650	0.706	0.700	0.616	0.281	0.261	0.494	0.439
1280	0.850	0.611	0.800	0.669	0.288	0.279	0.449	0.474
1290	0.850	0.610	0.750	0.700	0.276	0.273	0.443	0.486
1300	0.750	0.643	0.750	0.623	0.264	0.268	0.454	0.445
1310	0.800	0.650	0.700	0.652	0.276	0.265	0.463	0.458
1320	0.850	0.610	0.800	0.644	0.280	0.283	0.445	0.463
1330	0.750	0.583	0.800	0.607	0.263	0.283	0.423	0.445
1340	0.800	0.620	0.800	0.612	0.283	0.291	0.452	0.451
1350	0.650	0.782	0.750	0.633	0.288	0.276	0.535	0.455
1360	0.850	0.597	0.800	0.678	0.275	0.275	0.436	0.477
1370	0.800	0.588	0.850	0.561	0.263	0.273	0.426	0.417
1380	0.650	0.653	0.850	0.518	0.267	0.258	0.460	0.388
1390	0.850	0.559	0.700	0.668	0.273	0.270	0.416	0.469
1400	0.900	0.562	0.700	0.655	0.274	0.273	0.418	0.464
1410	0.700	0.613	0.850	0.625	0.269	0.271	0.441	0.448
1420	0.850	0.621	0.750	0.575	0.271	0.260	0.446	0.418
1430	0.800	0.596	0.850	0.572	0.272	0.283	0.434	0.428
1440	0.850	0.579	0.850	0.534	0.275	0.264	0.427	0.399
1450	0.850	0.577	0.750	0.623	0.268	0.294	0.422	0.459
1460	0.800	0.547	0.850	0.600	0.269	0.268	0.408	0.434
1470	0.800	0.722	0.750	0.614	0.276	0.265	0.499	0.440
1480	0.850	0.554	0.600	0.658	0.268	0.287	0.411	0.473
1490	0.900	0.516	0.800	0.557	0.263	0.259	0.389	0.408
1500	0.750	0.631	0.650	0.632	0.267	0.271	0.449	0.451
1510	0.900	0.561	0.950	0.480	0.272	0.267	0.416	0.373
1520	0.900	0.442	0.950	0.470	0.264	0.254	0.353	0.362
1530	0.700	0.594	0.900	0.463	0.279	0.273	0.436	0.368
1540	0.800	0.559	0.750	0.614	0.272	0.271	0.415	0.443
1550	0.800	0.569	0.800	0.523	0.259	0.271	0.414	0.397
1560	0.750	0.630	0.800	0.643	0.268	0.275	0.449	0.459
1570	0.800	0.549	0.900	0.548	0.286	0.264	0.417	0.406
1580	0.850	0.490	0.750	0.568	0.271	0.266	0.380	0.417
1590	0.900	0.484	0.800	0.561	0.269	0.279	0.377	0.420
1600	0.750	0.602	0.750	0.666	0.253	0.265	0.428	0.466
1610	0.700	0.639	1.000	0.458	0.258	0.230	0.448	0.344
1620	0.750	0.648	0.750	0.609	0.272	0.264	0.460	0.436
1630	0.700	0.602	0.800	0.539	0.272	0.265	0.437	0.402
1640	0.850	0.588	0.850	0.570	0.276	0.266	0.432	0.418
1650	0.800	0.554	0.700	0.657	0.258	0.284	0.406	0.470
1660	0.950	0.512	0.850	0.571	0.248	0.284	0.380	0.428
1670	0.850	0.500	0.650	0.608	0.244	0.251	0.372	0.429
1680	0.850	0.570	0.900	0.448	0.264	0.258	0.417	0.353
1690	0.750	0.654	0.700	0.625	0.271	0.276	0.463	0.451
1700	0.800	0.529	0.850	0.518	0.263	0.243	0.396	0.381
1710	0.750	0.586	0.850	0.526	0.260	0.284	0.423	0.405
1720	0.850	0.471	0.900	0.473	0.254	0.244	0.363	0.358
1730	0.850	0.544	0.700	0.667	0.253	0.287	0.398	0.477
1740	0.750	0.619	0.800	0.497	0.261	0.270	0.440	0.383
1750	0.750	0.618	0.900	0.445	0.273	0.262	0.446	0.353
1760	0.800	0.606	0.900	0.489	0.271	0.261	0.438	0.375
1770	0.950	0.503	0.850	0.467	0.269	0.262	0.386	0.365
1780	0.750	0.520	0.850	0.485	0.272	0.269	0.396	0.377
1790	0.800	0.524	0.850	0.571	0.267	0.265	0.395	0.418
1800	0.800	0.546	1.000	0.436	0.247	0.262	0.397	0.349
1810	0.800	0.511	0.850	0.486	0.269	0.266	0.390	0.376
1820	0.950	0.449	0.900	0.504	0.263	0.259	0.356	0.382
1830	0.750	0.555	0.900	0.368	0.253	0.241	0.404	0.305
1840	0.950	0.433	0.950	0.428	0.253	0.268	0.343	0.348
1850	0.850	0.487	0.850	0.441	0.277	0.257	0.382	0.349
1860	0.650	0.653	0.800	0.573	0.263	0.257	0.458	0.415
1870	0.850	0.467	0.800	0.478	0.254	0.251	0.360	0.365
1880	0.950	0.388	0.850	0.512	0.243	0.279	0.315	0.395
1890	0.900	0.416	0.900	0.462	0.268	0.265	0.342	0.364
1900	0.700	0.518	0.800	0.521	0.266	0.266	0.392	0.393
1910	0.900	0.493	0.850	0.454	0.267	0.257	0.380	0.355
1920	0.900	0.400	0.900	0.435	0.244	0.254	0.322	0.344
1930	0.900	0.526	0.800	0.513	0.261	0.246	0.394	0.380
1940	0.750	0.599	0.850	0.501	0.265	0.254	0.432	0.378
1950	0.950	0.488	0.850	0.501	0.254	0.256	0.371	0.379
1960	0.700	0.581	0.850	0.421	0.260	0.251	0.421	0.336
1970	0.800	0.462	0.800	0.517	0.255	0.268	0.359	0.392
1980	0.900	0.420	0.800	0.543	0.265	0.270	0.342	0.406
1990	0.850	0.427	0.900	0.383	0.261	0.245	0.344	0.314
2000	0.850	0.406	0.850	0.414	0.251	0.255	0.329	0.334
2010	0.850	0.497	0.950	0.420	0.260	0.251	0.379	0.336
2020	0.850	0.424	0.700	0.537	0.256	0.252	0.340	0.394
2030	0.650	0.584	0.800	0.457	0.265	0.258	0.425	0.358
2040	0.850	0.428	0.900	0.381	0.256	0.238	0.342	0.310
2050	0.800	0.459	0.950	0.379	0.261	0.270	0.360	0.324
2060	0.900	0.419	0.750	0.525	0.249	0.264	0.334	0.395
2070	0.900	0.459	0.950	0.483	0.248	0.274	0.353	0.379
2080	0.900	0.390	0.950	0.431	0.242	0.261	0.316	0.346
2090	0.900	0.455	0.850	0.482	0.262	0.252	0.359	0.367
2100	0.900	0.408	0.900	0.364	0.250	0.253	0.329	0.309
2110	0.900	0.408	0.900	0.423	0.247	0.241	0.328	0.332
2120	0.900	0.383	0.800	0.446	0.242	0.246	0.312	0.346
2130	0.950	0.396	0.950	0.371	0.255	0.253	0.326	0.312
2140	0.900	0.389	0.750	0.522	0.249	0.260	0.319	0.391
2150	1.000	0.384	0.800	0.414	0.258	0.252	0.321	0.333
2160	0.900	0.422	0.950	0.440	0.263	0.258	0.343	0.349
2170	0.900	0.342	0.800	0.382	0.251	0.248	0.297	0.315
2180	0.750	0.460	0.900	0.371	0.251	0.235	0.355	0.303
2190	0.900	0.372	0.900	0.374	0.246	0.249	0.309	0.312
2200	0.850	0.444	0.800	0.530	0.241	0.258	0.342	0.394
2210	0.950	0.347	0.950	0.334	0.258	0.250	0.302	0.292
2220	0.900	0.447	1.000	0.356	0.260	0.249	0.354	0.303
2230	0.700	0.469	0.850	0.484	0.258	0.270	0.364	0.377
2240	0.800	0.446	0.750	0.509	0.270	0.251	0.358	0.380
2250	0.950	0.385	0.750	0.477	0.265	0.271	0.325	0.374
2260	0.850	0.422	1.000	0.315	0.248	0.246	0.335	0.280
2270	0.950	0.399	0.900	0.396	0.247	0.241	0.323	0.319
2280	0.950	0.327	0.900	0.377	0.260	0.243	0.294	0.310
2290	0.950	0.350	0.950	0.356	0.239	0.245	0.295	0.300
2300	0.950	0.367	0.800	0.399	0.248	0.242	0.307	0.320
2310	1.000	0.373	0.850	0.438	0.253	0.249	0.313	0.344
2320	0.900	0.429	0.850	0.417	0.246	0.246	0.337	0.331
2330	0.900	0.394	0.900	0.335	0.250	0.241	0.322	0.288
2340	0.950	0.367	0.800	0.453	0.248	0.243	0.308	0.348
2350	0.750	0.472	0.950	0.363	0.258	0.247	0.365	0.305
2360	0.800	0.394	0.850	0.375	0.242	0.266	0.318	0.321
2370	0.900	0.348	0.750	0.475	0.251	0.246	0.300	0.361
2380	0.900	0.368	0.950	0.358	0.233	0.242	0.300	0.300
2390	0.800	0.360	0.750	0.490	0.236	0.261	0.298	0.375
2400	0.900	0.403	0.950	0.299	0.240	0.234	0.322	0.267
2410	0.900	0.393	1.000	0.382	0.259	0.244	0.326	0.313
2420	1.000	0.337	0.950	0.300	0.243	0.240	0.290	0.270
2430	0.900	0.387	0.900	0.388	0.262	0.259	0.324	0.324
2440	0.900	0.389	0.950	0.339	0.236	0.235	0.313	0.287
2450	0.850	0.385	0.850	0.422	0.232	0.251	0.309	0.336
2460	0.750	0.529	0.850	0.346	0.238	0.241	0.384	0.293
2470	0.750	0.443	0.800	0.422	0.240	0.247	0.341	0.334
2480	0.900	0.342	0.900	0.373	0.265	0.246	0.304	0.310
2490	0.950	0.325	0.900	0.407	0.238	0.248	0.281	0.328
2500	0.850	0.414	0.950	0.308	0.257	0.238	0.335	0.273
2510	0.850	0.350	0.850	0.310	0.259	0.254	0.304	0.282
2520	0.900	0.420	0.950	0.345	0.260	0.257	0.340	0.301
2530	0.950	0.279	1.000	0.317	0.231	0.248	0.255	0.282
2540	0.850	0.379	0.950	0.301	0.275	0.249	0.327	0.275
2550	0.850	0.400	0.850	0.431	0.255	0.253	0.327	0.342
2560	0.900	0.356	0.900	0.370	0.245	0.242	0.300	0.306
2570	0.900	0.342	0.950	0.268	0.244	0.248	0.293	0.258
2580	0.850	0.333	0.950	0.325	0.251	0.270	0.292	0.298
2590	0.850	0.337	0.850	0.409	0.235	0.244	0.286	0.327
2600	0.950	0.320	1.000	0.328	0.236	0.239	0.278	0.283
2610	0.800	0.459	0.950	0.356	0.238	0.257	0.349	0.307
2620	0.800	0.444	0.950	0.326	0.256	0.237	0.350	0.282
2630	0.900	0.354	0.950	0.346	0.245	0.245	0.299	0.295
2640	1.000	0.253	1.000	0.286	0.229	0.234	0.241	0.260
2650	0.900	0.341	0.950	0.305	0.243	0.237	0.292	0.271
2660	0.950	0.351	0.900	0.336	0.244	0.234	0.298	0.285
2670	1.000	0.217	0.900	0.318	0.220	0.248	0.219	0.283
2680	0.850	0.328	0.850	0.368	0.227	0.253	0.277	0.310
2690	0.850	0.338	0.950	0.269	0.248	0.237	0.293	0.253
2700	0.950	0.276	1.000	0.243	0.237	0.242	0.256	0.243
2710	0.950	0.253	0.900	0.343	0.230	0.255	0.241	0.299
2720	1.000	0.226	0.950	0.279	0.243	0.235	0.235	0.257
2730	0.900	0.332	0.900	0.311	0.233	0.243	0.283	0.277
2740	0.950	0.323	0.950	0.313	0.234	0.248	0.279	0.281
2750	0.900	0.397	0.950	0.292	0.250	0.242	0.323	0.267
2760	1.000	0.247	0.900	0.369	0.227	0.248	0.237	0.309
2770	0.950	0.283	0.900	0.354	0.257	0.248	0.270	0.301
2780	1.000	0.266	1.000	0.235	0.246	0.231	0.256	0.233
2790	0.900	0.298	1.000	0.307	0.251	0.249	0.274	0.278
2800	0.900	0.300	0.800	0.432	0.252	0.244	0.276	0.338
2810	1.000	0.255	0.850	0.345	0.254	0.240	0.255	0.292
2820	0.950	0.276	0.750	0.382	0.232	0.243	0.254	0.312
2830	0.900	0.310	0.950	0.249	0.233	0.245	0.271	0.247
2840	0.900	0.351	0.950	0.304	0.235	0.237	0.293	0.271
2850	0.850	0.320	1.000	0.276	0.240	0.232	0.280	0.254
2860	1.000	0.309	0.900	0.317	0.247	0.236	0.278	0.277
2870	0.950	0.286	1.000	0.231	0.231	0.232	0.258	0.232
2880	0.850	0.451	0.850	0.386	0.252	0.246	0.352	0.316
2890	0.750	0.399	0.900	0.337	0.238	0.240	0.318	0.289
2900	0.950	0.287	0.850	0.325	0.256	0.251	0.271	0.288
2910	1.000	0.244	0.900	0.296	0.253	0.253	0.249	0.275
2920	0.850	0.323	1.000	0.218	0.241	0.219	0.282	0.218
2930	1.000	0.257	1.000	0.215	0.235	0.222	0.246	0.219
2940	0.900	0.380	0.950	0.299	0.235	0.260	0.308	0.279
2950	0.900	0.299	0.900	0.275	0.232	0.229	0.266	0.252
2960	0.950	0.293	0.900	0.267	0.231	0.241	0.262	0.254
2970	0.950	0.313	0.900	0.232	0.247	0.222	0.280	0.227
2980	0.900	0.272	1.000	0.206	0.235	0.245	0.254	0.226
2990	0.950	0.212	0.900	0.332	0.237	0.246	0.225	0.289
3000	0.950	0.246	0.900	0.258	0.249	0.224	0.247	0.241
3010	1.000	0.266	1.000	0.278	0.220	0.246	0.243	0.262
3020	0.950	0.297	1.000	0.248	0.225	0.257	0.261	0.253
3030	0.850	0.416	1.000	0.203	0.255	0.242	0.335	0.222
3040	0.900	0.333	0.900	0.298	0.237	0.234	0.285	0.266
3050	0.950	0.249	0.950	0.271	0.247	0.242	0.248	0.256
3060	0.900	0.292	1.000	0.219	0.234	0.255	0.263	0.237
3070	0.900	0.280	0.950	0.269	0.238	0.224	0.259	0.247
3080	0.900	0.343	0.900	0.284	0.249	0.240	0.296	0.262
3090	0.900	0.286	0.950	0.272	0.248	0.262	0.267	0.267
3100	0.950	0.260	0.950	0.273	0.237	0.243	0.248	0.258
3110	0.950	0.232	0.950	0.260	0.237	0.233	0.235	0.246
3120	0.950	0.215	1.000	0.205	0.237	0.236	0.226	0.221
3130	1.000	0.215	0.900	0.315	0.233	0.228	0.224	0.272
3140	0.950	0.245	0.900	0.302	0.237	0.244	0.241	0.273
3150	0.950	0.252	0.900	0.196	0.236	0.229	0.244	0.213
3160	0.950	0.219	1.000	0.244	0.224	0.231	0.221	0.238
3170	0.950	0.222	1.000	0.251	0.240	0.237	0.231	0.244
3180	0.900	0.309	0.950	0.231	0.226	0.222	0.268	0.226
3190	0.900	0.268	0.850	0.388	0.246	0.246	0.257	0.317
3200	0.900	0.241	1.000	0.223	0.230	0.235	0.236	0.229
3210	0.950	0.224	0.900	0.266	0.227	0.233	0.226	0.250
3220	0.950	0.264	1.000	0.193	0.242	0.247	0.253	0.220
3230	0.950	0.373	1.000	0.197	0.231	0.224	0.302	0.210
3240	0.950	0.233	0.950	0.230	0.227	0.238	0.230	0.234
3250	1.000	0.168	1.000	0.191	0.234	0.242	0.201	0.216
3260	1.000	0.205	1.000	0.211	0.231	0.232	0.218	0.222
3270	0.950	0.185	1.000	0.228	0.230	0.239	0.207	0.233
3280	0.950	0.283	1.000	0.198	0.231	0.239	0.257	0.218
3290	0.950	0.223	0.950	0.214	0.228	0.235	0.226	0.224
3300	1.000	0.226	1.000	0.205	0.226	0.236	0.226	0.220
3310	1.000	0.227	0.950	0.200	0.229	0.243	0.228	0.221
3320	0.950	0.189	0.900	0.300	0.228	0.251	0.209	0.276
3330	0.950	0.179	1.000	0.176	0.247	0.223	0.213	0.199
3340	0.900	0.272	0.950	0.228	0.233	0.238	0.253	0.233
3350	0.950	0.192	0.900	0.251	0.237	0.230	0.215	0.240
3360	1.000	0.175	0.900	0.222	0.233	0.233	0.204	0.227
3370	1.000	0.223	0.950	0.247	0.228	0.242	0.226	0.244
3380	0.950	0.289	1.000	0.183	0.225	0.239	0.257	0.211
3390	1.000	0.221	1.000	0.198	0.245	0.223	0.233	0.210
3400	0.900	0.287	1.000	0.167	0.237	0.228	0.262	0.198
3410	1.000	0.188	0.900	0.244	0.240	0.249	0.214	0.247
3420	0.950	0.187	1.000	0.179	0.221	0.212	0.204	0.195
3430	1.000	0.169	0.950	0.165	0.222	0.221	0.196	0.193
3440	0.950	0.282	0.900	0.219	0.233	0.235	0.258	0.227
3450	1.000	0.175	1.000	0.192	0.212	0.226	0.194	0.209
3460	0.950	0.196	1.000	0.177	0.238	0.228	0.217	0.202
3470	1.000	0.135	1.000	0.151	0.215	0.225	0.175	0.188
3480	1.000	0.196	1.000	0.192	0.229	0.228	0.212	0.210
3490	0.950	0.194	1.000	0.232	0.230	0.245	0.212	0.238
3500	1.000	0.170	0.950	0.190	0.221	0.225	0.196	0.208
3510	0.900	0.191	0.950	0.172	0.224	0.216	0.208	0.194
3520	0.950	0.180	0.950	0.191	0.233	0.232	0.206	0.212
3530	0.900	0.256	1.000	0.188	0.239	0.245	0.247	0.217
3540	1.000	0.146	0.950	0.239	0.233	0.233	0.189	0.236
3550	0.950	0.268	0.950	0.208	0.229	0.220	0.248	0.214
3560	1.000	0.159	1.000	0.176	0.237	0.238	0.198	0.207
3570	1.000	0.180	1.000	0.197	0.233	0.234	0.207	0.216
3580	1.000	0.149	0.900	0.255	0.229	0.230	0.189	0.242
3590	0.900	0.221	1.000	0.172	0.237	0.233	0.229	0.203
3600	0.900	0.271	1.000	0.156	0.257	0.232	0.264	0.194
3610	1.000	0.170	1.000	0.129	0.218	0.215	0.194	0.172
3620	1.000	0.173	1.000	0.153	0.231	0.233	0.202	0.193
3630	0.950	0.222	1.000	0.162	0.230	0.222	0.226	0.192
3640	1.000	0.183	0.950	0.229	0.231	0.241	0.207	0.235
3650	0.950	0.201	0.950	0.187	0.223	0.241	0.212	0.214
3660	1.000	0.165	0.950	0.186	0.223	0.224	0.194	0.205
3670	1.000	0.184	0.950	0.176	0.225	0.229	0.205	0.203
3680	1.000	0.142	0.950	0.225	0.227	0.240	0.185	0.232
3690	1.000	0.161	0.950	0.235	0.241	0.220	0.201	0.228
3700	1.000	0.087	1.000	0.130	0.228	0.229	0.157	0.180
3710	0.950	0.210	1.000	0.179	0.224	0.235	0.217	0.207
3720	0.900	0.224	1.000	0.187	0.224	0.230	0.224	0.209
3730	0.850	0.284	0.850	0.252	0.231	0.232	0.257	0.242
3740	0.950	0.160	1.000	0.129	0.222	0.221	0.191	0.175
3750	1.000	0.151	0.950	0.236	0.217	0.230	0.184	0.233
3760	1.000	0.160	1.000	0.130	0.224	0.220	0.192	0.175
3770	0.950	0.187	0.900	0.236	0.235	0.229	0.211	0.232
3780	1.000	0.137	0.950	0.247	0.216	0.243	0.176	0.245
3790	0.900	0.232	1.000	0.210	0.221	0.218	0.226	0.214
3800	0.950	0.249	1.000	0.116	0.231	0.209	0.240	0.163
3810	1.000	0.114	1.000	0.169	0.233	0.242	0.173	0.205
3820	1.000	0.171	1.000	0.177	0.231	0.246	0.201	0.212
3830	1.000	0.152	1.000	0.102	0.226	0.221	0.189	0.162
3840	0.950	0.204	1.000	0.177	0.226	0.239	0.215	0.208
3850	0.950	0.258	1.000	0.137	0.229	0.221	0.243	0.179
3860	1.000	0.163	0.950	0.198	0.234	0.226	0.199	0.212
3870	1.000	0.147	1.000	0.144	0.223	0.231	0.185	0.188
