# CNN model parameters:
# patch_size = 28
# num_instances = 32
# num_features = 10
# batch_size = 20
# num_samples_per_class = 5
# num_classes = 4
# subset_length = 10
# ucc_start = 1
# ucc_end = 4
# learning_rate = 0.0001
# num_steps = 1000001
# save_interval = 1000
# metrics_file = loss_data/step_loss_acc_metrics__2022_01_20__16_17_29__0123456789.txt
# init_model_file = None
# step	train_ucc_acc	train_ucc_loss	val_ucc_acc	val_ucc_loss	train_ae_loss	val_ae_loss	train_loss_weighted	val_loss_weighted
0	0.250	1.387	0.250	1.387	1.112	0.995	1.249	1.191
10	0.300	1.387	0.250	1.386	0.845	0.826	1.116	1.106
20	0.150	1.387	0.250	1.387	0.742	0.733	1.064	1.060
30	0.250	1.386	0.250	1.386	0.707	0.703	1.047	1.044
40	0.250	1.387	0.250	1.387	0.716	0.707	1.051	1.047
50	0.200	1.386	0.350	1.385	0.703	0.699	1.044	1.042
60	0.250	1.385	0.250	1.386	0.705	0.700	1.045	1.043
70	0.200	1.387	0.350	1.386	0.697	0.707	1.042	1.047
80	0.150	1.387	0.200	1.388	0.695	0.711	1.041	1.049
90	0.350	1.383	0.400	1.382	0.702	0.702	1.042	1.042
100	0.500	1.380	0.300	1.383	0.704	0.702	1.042	1.042
110	0.250	1.382	0.400	1.381	0.684	0.704	1.033	1.043
120	0.400	1.378	0.550	1.371	0.690	0.679	1.034	1.025
130	0.550	1.368	0.450	1.366	0.677	0.686	1.022	1.026
140	0.450	1.365	0.450	1.365	0.656	0.669	1.010	1.017
150	0.450	1.364	0.500	1.351	0.647	0.650	1.006	1.000
160	0.300	1.364	0.250	1.377	0.619	0.624	0.992	1.000
170	0.500	1.350	0.450	1.334	0.600	0.599	0.975	0.966
180	0.450	1.336	0.300	1.349	0.581	0.572	0.958	0.960
190	0.350	1.327	0.400	1.316	0.566	0.564	0.947	0.940
200	0.500	1.337	0.550	1.294	0.541	0.547	0.939	0.920
210	0.450	1.291	0.450	1.314	0.529	0.528	0.910	0.921
220	0.450	1.251	0.600	1.249	0.527	0.513	0.889	0.881
230	0.400	1.330	0.450	1.294	0.498	0.510	0.914	0.902
240	0.500	1.275	0.550	1.266	0.497	0.498	0.886	0.882
250	0.450	1.264	0.500	1.206	0.481	0.494	0.873	0.850
260	0.550	1.216	0.400	1.244	0.469	0.465	0.843	0.854
270	0.500	1.194	0.500	1.241	0.466	0.463	0.830	0.852
280	0.450	1.184	0.450	1.211	0.469	0.460	0.826	0.835
290	0.450	1.198	0.450	1.238	0.452	0.460	0.825	0.849
300	0.450	1.180	0.300	1.212	0.432	0.428	0.806	0.820
310	0.400	1.223	0.450	1.171	0.442	0.430	0.832	0.801
320	0.400	1.183	0.500	1.139	0.404	0.424	0.794	0.781
330	0.450	1.156	0.450	1.155	0.421	0.424	0.789	0.789
340	0.450	1.154	0.500	1.149	0.426	0.410	0.790	0.780
350	0.700	1.093	0.500	1.125	0.408	0.410	0.751	0.768
360	0.550	1.124	0.500	1.093	0.388	0.395	0.756	0.744
370	0.600	1.001	0.500	1.112	0.393	0.407	0.697	0.760
380	0.500	1.089	0.500	1.084	0.372	0.400	0.731	0.742
390	0.550	1.047	0.500	1.153	0.408	0.382	0.727	0.767
400	0.550	1.044	0.550	0.997	0.388	0.393	0.716	0.695
410	0.550	1.057	0.500	1.021	0.389	0.377	0.723	0.699
420	0.550	1.064	0.450	1.100	0.385	0.372	0.724	0.736
430	0.550	1.020	0.450	1.046	0.374	0.374	0.697	0.710
440	0.600	1.021	0.450	1.041	0.376	0.374	0.698	0.708
450	0.450	1.122	0.550	1.032	0.350	0.361	0.736	0.696
460	0.600	1.067	0.550	1.101	0.360	0.374	0.714	0.737
470	0.550	1.009	0.550	1.024	0.353	0.365	0.681	0.695
480	0.550	0.982	0.500	0.992	0.372	0.342	0.677	0.667
490	0.550	1.009	0.550	0.948	0.349	0.348	0.679	0.648
500	0.600	0.977	0.450	1.030	0.342	0.350	0.659	0.690
510	0.400	1.088	0.600	0.933	0.356	0.342	0.722	0.638
