pair,token0,token1,block_number,timestamp
0xFA0C2e800324E5EF71a84D510505956AaBee184f,0x2e6E90F79e42ba7aDf96c52CbCC6B57218608785,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000009,1601957962
0xB1bD3f6859D45A4f00D805664384E9711d996a57,0x57a00E4129aF2D7fa9CF0c2bA81b61d804F364E5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000021,1601958197
0x4478778b8D12Eb684BD17214627f3f3c286cfBE4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xccBb97A4288Cfa8452c6F73705BFb648eF572953,11000036,1601958367
0xBFA1AB8E7E838329442E3979885E9A491E433AAE,0x08DE69e5E9d08bb1Dff0b5a7c8CC6672df7c0412,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000045,1601958459
0x6027B4baa69751DD228257926B15f4Ad0a1A0e51,0x262CCe574A26E1A18d9A446b1404800C834Be4e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000046,1601958473
0x820Eab1d198E4a93BD77E80d76C0Cb984054A0AC,0x16d85679DeFA6A120a6691bD575ba60F4E76BA69,0xdAC17F958D2ee523a2206206994597C13D831ec7,11000063,1601958726
0xfb93094747B9F0F269f4Dc42B9A3Acab664d8eBF,0x56552b2399E9BCF14D6de797F5C15c31ADDC2F4F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000129,1601959631
0xA0BB088CE396CF8c07d9a7d7685737c76Cf8E6EB,0x406dc6B96A7Ac3bB3e1Dc5fB642dbE3E5E82e975,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000168,1601960093
0x2D703D5C1924f5791F1b889A58C25b04D878A39d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC38dC661C6b4a2cBF1e0e347FD53D74614F505Bb,11000260,1601961416
0x0cb9C18f3472C4dfd6CEF684462F4Ea70C31E6c1,0x4DfD069F5ac19656B6E199733F0491eEa2489285,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000270,1601961575
0x6fDaEE660321744661C667658f4bfDaB44fE4597,0x5D446563D9119ae2491C586Db396Db19a1D27deC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000276,1601961642
0xf99C9c94997a5153298293f2298fffc9ED062Ff9,0x02d9A9D0E876bE9719D745c77A894714649ABE33,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000318,1601962150
0x03F2256a1f717aFDEc45D81A0ECb36274D87C45B,0x82106fEA6D93e15BFD5FFdf761D119f3d101CdcC,0x975CE667d59318e13Da8acD3D2f534BE5a64087B,11000324,1601962211
0xC57ceEF95Da350c58d420ac90b50E428651521cc,0x9Be7B8a59ba09d16E09542A9B7d7696b2244523F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000356,1601962642
0x97Bc9A3D9A1D4f993E3D19EA90cB99f3194254B8,0x5b0d63162E8d9A2585Bd750001D57f736d5Ef4c6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000361,1601962721
0x51c7697943894A1cDE31087F62f2973bAD3d1eeE,0x852D11979F5218A1940c14C493A9E6C5dcD71d96,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000369,1601962909
0xc6C71F36a42F0FeCAddAe727329599cE34eB1542,0x454CB9D0845bB4a28462F98C21a4fAFD16ceb25f,0xdAC17F958D2ee523a2206206994597C13D831ec7,11000386,1601963151
0x8AB0195B15F7DE77D61d9292FCB8628867C680f5,0x769061Cd88fea049465cf641bC34FcC1fF77196B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000412,1601963590
0x96cc4beD03d8dd176490d998E93688f041f12343,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9b06D48E0529ecF05905fF52DD426ebEc0EA3011,11000432,1601963966
0xc202d0aCd843cEc06991B355bb5AF2140c4D7fF4,0x0f644A90Fe4F32F0Ff65fcaB1D060a181cB01723,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000441,1601964069
0x01e300354Fc04d01FA8aC4d9d57b44b6f330d95A,0x5873A5D10741A193A3A9fD259EEE7E2e8970C774,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000468,1601964422
0x2A2BBBBCaD13F4871C7f67f3358561A38D41f242,0x5617C4Ae4219c9C6729695A4c19eee41f2F1B5e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000518,1601965082
0x74335FEE1cC9899aa27eD1C8b1f91BBEF5b404eE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeA34b41710867E83034D386FE18a69B97D1cb85b,11000571,1601965609
0xD95Bfeab6d8Ad5Fa9BFc536800a687882d79E533,0x37E6244CdB3d78747865c311343369cE880f6d42,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000602,1601965973
0x0748626CC29507435DD0935cE0fB9ce8097c4F20,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc7713e9ced0F6eCC023e481bf7750510a1aF1135,11000614,1601966051
0xEe443f64fe605eF288C9B53F7489290E5d8e98ba,0x0D7B64320Bdb6F435Ca129EacD44D05dE26dE605,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000642,1601966439
0xCE1162D1C8938239827F179Fdc44939e0148366B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd003b4743a81E7D94553B48f0741CB956c32FaED,11000643,1601966442
0x8F30590ADf705e5a355c6B1aDC6C4F527b71C46a,0x4B34c0CBeEF271F895d339c5F76322d71A60782B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000649,1601966497
0x4CbC6DcCD7b413A30af6dE24D29b7E7ec53732A1,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xd8b6F01D9D2Eb02A58a71602d5BeF5455EcC50CA,11000727,1601967523
0x410f18a5c819C1Ff67316c34371e30ce04228027,0x66439a6E0822a7535F2516712A389F48748B9932,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,11000734,1601967625
0x67e3d5824c7C3ca80d46270594B3a949578398Ef,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd8d42dd08EBeb26e11EB53682403802165A740B1,11000820,1601968678
0x37a9E4328694365e0C16cF9e4f195E9175402663,0x05D3606d5c81EB9b7B18530995eC9B29da05FaBa,0x1F3F677Ecc58F6A1F9e2CF410dF4776a8546b5DE,11000829,1601968852
0xB46ab8E383A416026676Ad74325d9aE37F4c1a5f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeC79952E26e6D3afA1eDb9A7b49235cd1E2E5275,11000850,1601969108
