"","V1","pvalue","V3"
"1","200067_x_at","0.00513467385260651","+"
"2","35974_at","7.50343883422341e-12","-"
"3","38340_at","3.97607311035141e-10","-"
"4","38671_at","0.000331378550174633","+"
"5","39402_at","0.0235922240174915","-"
"6","40148_at","0.00424816576662483","-"
"7","41577_at","0.0237621560172681","+"
"8","43511_s_at","0.0109515017347727","+"
"9","46665_at","0.0156373216954358","-"
"10","47069_at","6.91411365231011e-05","-"
"11","49111_at","0.0166078139688544","+"
"12","57715_at","0.0308302519245276","+"
"13","62987_r_at","0.00278712459766089","-"
"14","200600_at","6.31449298072869e-05","+"
"15","200618_at","0.0311934270585718","+"
"16","200747_s_at","0.00669532356288968","+"
"17","200790_at","8.51558778562887e-05","-"
"18","200811_at","0.01253283330318","+"
"19","200819_s_at","0.000315248175345058","+"
"20","200857_s_at","0.0230489379298257","-"
"21","200896_x_at","4.45680251604808e-05","-"
"22","200953_s_at","0.00149869327524194","+"
"23","201003_x_at","0.006308880943467","+"
"24","201028_s_at","0.00920762840258849","+"
"25","201029_s_at","0.00105087241522341","+"
"26","201190_s_at","0.0065617253532891","-"
"27","201195_s_at","0.023972217649589","+"
"28","201259_s_at","0.0277662429342392","+"
"29","201260_s_at","0.0495426374997989","+"
"30","201273_s_at","0.00570967099079006","-"
"31","201334_s_at","0.00406464440861111","-"
"32","201349_at","0.0335109480655222","+"
"33","201375_s_at","1.70031384866497e-05","+"
"34","201457_x_at","0.000810640563861646","-"
"35","201460_at","3.02755853712624e-05","-"
"36","201517_at","2.43037791714526e-06","-"
"37","201518_at","6.10085629634099e-06","-"
"38","201521_s_at","0.0457921280743802","-"
"39","201540_at","0.00714851980428814","+"
"40","201579_at","1.64184337193134e-06","-"
"41","201695_s_at","9.18196813169139e-07","-"
"42","201700_at","0.00520864895769823","-"
"43","201718_s_at","0.00404798536451135","-"
"44","201719_s_at","0.0327078828834912","-"
"45","201792_at","0.0454130565785041","+"
"46","201889_at","0.000585960243121538","-"
"47","201956_s_at","4.8677454151033e-06","-"
"48","201968_s_at","0.0477443192787181","-"
"49","202090_s_at","0.00249507681128209","+"
"50","202136_at","0.0014510520702985","+"
"51","202178_at","0.0160614719383152","-"
"52","202180_s_at","0.00262155752581537","+"
"53","202181_at","2.87773712570453e-06","-"
"54","202184_s_at","0.00423988482353296","-"
"55","202197_at","6.94458681568502e-06","-"
"56","202206_at","0.00188034210152508","-"
"57","202207_at","0.00592535144669257","-"
"58","202242_at","0.00765090564490676","+"
"59","202315_s_at","0.00137325343901544","-"
"60","202365_at","0.0374890731337918","-"
"61","202391_at","0.00262397461882578","-"
"62","202421_at","1.0035492316666e-05","-"
"63","202430_s_at","0.00440673889261783","+"
"64","202478_at","7.39806791292279e-07","-"
"65","202479_s_at","2.44758799020817e-06","-"
"66","202615_at","0.00357760067993295","+"
"67","202733_at","2.4354843908425e-05","-"
"68","202741_at","0.00965126411354567","+"
"69","202754_at","0.00257307005102487","-"
"70","202771_at","8.03515927390953e-05","+"
"71","202796_at","6.21096943947419e-05","-"
"72","202883_s_at","0.0232139499917538","-"
"73","202932_at","0.0311142274659753","+"
"74","202951_at","0.00232994767266739","-"
"75","203014_x_at","3.89765392576828e-05","-"
"76","203033_x_at","0.00170916396895429","-"
"77","203151_at","2.10150089627128e-05","-"
"78","203245_s_at","8.59148729005468e-05","-"
"79","203281_s_at","0.00587394185816751","+"
"80","203297_s_at","0.00516283061444794","+"
"81","203316_s_at","0.0030947700557228","-"
"82","203320_at","0.00361721682511036","+"
"83","203372_s_at","8.09971207297747e-07","+"
"84","203373_at","4.93929620902098e-08","+"
"85","203388_at","0.00041445094919662","+"
"86","203445_s_at","6.29165007441407e-05","+"
"87","203556_at","0.0183554618203336","-"
"88","203723_at","0.00749013252333491","-"
"89","203865_s_at","0.000156672367626429","-"
"90","203940_s_at","0.00250418794871945","-"
"91","204029_at","0.0423258886373763","+"
"92","204114_at","0.001107983828705","-"
"93","204143_s_at","0.000881980946671687","+"
"94","204165_at","2.51521986379172e-05","-"
"95","204225_at","0.00480493746203802","-"
"96","204236_at","1.6735577592477e-05","-"
"97","204262_s_at","0.000221720793639714","-"
"98","204341_at","0.0413440742110678","-"
"99","204430_s_at","0.0476076204603816","+"
"100","204458_at","0.0341681909776482","-"
"101","204562_at","8.02891126291175e-11","-"
"102","204603_at","0.0463404377398513","+"
"103","204634_at","0.0150385060365717","-"
"104","204674_at","5.13077380900369e-11","-"
"105","204682_at","0.029094649741092","-"
"106","204689_at","0.0410139189160083","+"
"107","204774_at","0.000138566546384345","+"
"108","204776_at","0.000105863710399859","-"
"109","204790_at","0.0126041016320172","-"
"110","204798_at","0.000401927419349343","-"
"111","204836_at","1.59159833893847e-05","-"
"112","204949_at","0.0282170554029285","+"
"113","205037_at","0.0357141587814695","-"
"114","205067_at","0.00138898607977593","-"
"115","205159_at","2.50655805969509e-08","-"
"116","205173_x_at","9.93083974870859e-06","-"
"117","205253_at","6.93694711834083e-07","-"
"118","205316_at","0.000207233573690234","-"
"119","205317_s_at","0.0408452950106353","-"
"120","205768_s_at","0.000109707347156092","-"
"121","205769_at","0.00142068078648345","-"
"122","205771_s_at","0.0141205734050266","-"
"123","205805_s_at","0.00309597801076303","-"
"124","205928_at","0.0450534759673388","+"
"125","206099_at","0.0156578447777603","+"
"126","206181_at","0.000290500007139395","-"
"127","206255_at","9.44034427460804e-07","-"
"128","206364_at","0.00244351627076756","-"
"129","206660_at","0.0431408936569049","-"
"130","206928_at","0.00471769512686871","-"
"131","206999_at","0.0214195156074333","-"
"132","207112_s_at","0.0136472482759299","+"
"133","207571_x_at","0.0177066620130621","+"
"134","207643_s_at","0.000779028617825211","+"
"135","207719_x_at","0.0454013442780658","-"
"136","207828_s_at","0.00177134076968115","-"
"137","207926_at","0.0132430039387167","-"
"138","208072_s_at","0.00029270881570727","-"
"139","208270_s_at","0.00507852349031714","+"
"140","208623_s_at","0.0499902825554312","-"
"141","208644_at","3.21841722283044e-06","-"
"142","208716_s_at","0.0219965794429938","-"
"143","208785_s_at","0.0333383175003747","-"
"144","208788_at","0.0430888901994979","-"
"145","208944_at","6.82616835191024e-07","-"
"146","209014_at","5.15448860347874e-09","-"
"147","209151_x_at","0.0350908541558098","-"
"148","209365_s_at","0.0327648850696518","+"
"149","209389_x_at","0.043390594365067","-"
"150","209484_s_at","0.00328010059650938","-"
"151","209558_s_at","3.65378742271221e-05","-"
"152","209574_s_at","0.038110171457589","-"
"153","209712_at","0.000219732827183693","-"
"154","209760_at","3.71007792037429e-07","-"
"155","209864_at","0.000574168123220409","-"
"156","209974_s_at","0.0150470745803611","-"
"157","210032_s_at","0.0101211779008684","-"
"158","210033_s_at","0.00311837302430711","-"
"159","210150_s_at","0.0219029979809177","-"
"160","210240_s_at","0.000164994593146788","-"
"161","210299_s_at","0.0285213444487873","+"
"162","210450_at","0.00402790856619192","-"
"163","210487_at","2.68115948941676e-06","+"
"164","210644_s_at","0.000190990807542055","+"
"165","210648_x_at","0.0163687035303245","+"
"166","210786_s_at","0.00216775858180334","+"
"167","211373_s_at","0.00340834062895162","-"
"168","211382_s_at","0.04644223726544","-"
"169","211744_s_at","7.81487926195454e-06","-"
"170","211819_s_at","0.00420308050452772","+"
"171","211825_s_at","0.00276493593555946","-"
"172","211913_s_at","0.0105031071225677","-"
"173","211940_x_at","0.0297137178186259","-"
"174","211962_s_at","0.00210990657200729","-"
"175","211965_at","0.0108748140308961","-"
"176","212038_s_at","0.0209763427461228","-"
"177","212070_at","0.037740595344694","+"
"178","212098_at","0.0275782322856727","-"
"179","212148_at","3.97724859992291e-09","-"
"180","212149_at","0.00772956176897283","+"
"181","212150_at","1.10997694299664e-06","+"
"182","212151_at","2.11687287139171e-07","-"
"183","212165_at","5.6666811570403e-07","-"
"184","212242_at","9.70794161803152e-08","+"
"185","212357_at","0.0228842739303812","+"
"186","212371_at","1.05178227331849e-07","-"
"187","212561_at","0.00311883650073925","+"
"188","212573_at","0.00369506363828377","-"
"189","212591_at","0.0285927959591919","-"
"190","212632_at","0.0110420591781814","+"
"191","212651_at","0.0129529348192374","-"
"192","212675_s_at","2.25183526741991e-06","+"
"193","212750_at","0.00267113007917454","+"
"194","212774_at","3.55687946275746e-06","-"
"195","212789_at","2.35952469053328e-05","-"
"196","212827_at","5.52076532596205e-06","-"
"197","212828_at","0.00297983660851114","-"
"198","212856_at","0.00194334548334323","-"
"199","212872_s_at","0.00405689161080261","-"
"200","212873_at","0.000297781933892312","+"
"201","212934_at","0.0439085663951369","-"
"202","212970_at","0.000490445909589278","-"
"203","212985_at","0.00136319252868992","-"
"204","213136_at","0.0168876475721467","-"
"205","213137_s_at","0.0366200498713709","-"
"206","213266_at","0.0401166701334506","-"
"207","213273_at","0.00404672509644412","-"
"208","213345_at","1.36771543870731e-09","-"
"209","213358_at","0.000608219519812747","-"
"210","213618_at","0.00416611764397016","+"
"211","213773_x_at","2.84791338843204e-05","-"
"212","213817_at","0.00389688422221904","+"
"213","213828_x_at","0.00430262453494062","-"
"214","213911_s_at","0.0287720368390494","+"
"215","213940_s_at","0.0240668392256079","+"
"216","213996_at","0.0282227386891129","-"
"217","214170_x_at","0.001768327798764","-"
"218","214779_s_at","0.020181077453376","-"
"219","214958_s_at","0.0210593762513607","+"
"220","215001_s_at","7.03590929010981e-05","+"
"221","215117_at","0.000487239000785347","-"
"222","215171_s_at","0.0127598765015436","-"
"223","215499_at","0.0281205111533369","-"
"224","215519_x_at","0.0147871985317921","-"
"225","215785_s_at","2.61544291199733e-06","-"
"226","215807_s_at","0.00784773037009028","-"
"227","215907_at","0.00150002567524371","-"
"228","215925_s_at","0.00304362228324673","-"
"229","215933_s_at","4.66885353511574e-05","+"
"230","215946_x_at","0.0410318928588703","-"
"231","216484_x_at","0.0230738691432793","+"
"232","216942_s_at","0.00702404041216238","-"
"233","216986_s_at","0.00336805179284022","-"
"234","217025_s_at","0.0271580972475854","-"
"235","217140_s_at","0.0178058888916684","-"
"236","217202_s_at","0.000158533433690856","-"
"237","217223_s_at","0.00235222185337993","-"
"238","217529_at","0.0335563900666555","-"
"239","217732_s_at","0.0169301513459984","+"
"240","217791_s_at","0.0132351544551594","-"
"241","218028_at","6.95876382638702e-05","+"
"242","218031_s_at","0.00757662827825441","+"
"243","218032_at","0.00675157689817749","-"
"244","218068_s_at","2.94243065348454e-05","-"
"245","218087_s_at","0.00112765543209255","-"
"246","218167_at","0.00980030542017577","+"
"247","218168_s_at","0.0339916808473301","-"
"248","218176_at","0.02099225123644","+"
"249","218184_at","0.0143969818542938","-"
"250","218229_s_at","0.0148315196091993","-"
"251","218283_at","0.000140699865099072","-"
"252","218322_s_at","0.000473453934390202","+"
"253","218365_s_at","0.0409298018820956","+"
"254","218394_at","0.00214376078526052","-"
"255","218415_at","0.00547711032064689","+"
"256","218599_at","0.0147584610815238","+"
"257","218640_s_at","0.0103740802082394","-"
"258","218683_at","0.0065958216440669","-"
"259","218764_at","0.0158034193535421","+"
"260","218854_at","3.85514858894449e-05","+"
"261","218948_at","0.00156469426068448","-"
"262","218949_s_at","1.23541128753585e-05","-"
"263","218966_at","0.00848958602689052","+"
"264","218980_at","0.00366280218242707","-"
"265","219111_s_at","0.00356766674908754","-"
"266","219148_at","0.0202899091831083","+"
"267","219155_at","0.000139600400706572","-"
"268","219168_s_at","0.000465699211622055","-"
"269","219279_at","0.036557547018054","-"
"270","219517_at","5.67086529818284e-06","-"
"271","219518_s_at","9.45868034974247e-06","-"
"272","219551_at","5.87613537699445e-07","-"
"273","219663_s_at","4.81038432738548e-06","-"
"274","219667_s_at","0.00316266769307286","+"
"275","219715_s_at","0.00172514360771304","-"
"276","219752_at","3.13456448014708e-05","-"
"277","219960_s_at","1.43753103271525e-05","-"
"278","220059_at","0.0312518181089271","+"
"279","220147_s_at","0.0021573722233333","-"
"280","220389_at","0.000374539121501243","-"
"281","220892_s_at","9.81721487986058e-05","-"
"282","220911_s_at","3.3362717139814e-07","-"
"283","220937_s_at","0.000544432848034437","-"
"284","220999_s_at","1.39782533370316e-06","-"
"285","221021_s_at","0.000528384487384048","-"
"286","221234_s_at","4.02137025045053e-07","-"
"287","221500_s_at","0.00999107113009505","+"
"288","221624_at","0.0472032762352163","-"
"289","221773_at","0.0235936607560276","+"
"290","221861_at","0.00524808898145637","+"
"291","221969_at","0.016350755523675","+"
"292","221970_s_at","0.0354379445688676","-"
"293","222062_at","0.0372931347016052","+"
