"","V1","pvalue","V3"
"1","1332_f_at","8.63177780136211e-07","+"
"2","1343_s_at","0.000900234203236116","+"
"3","1727_at","0.042425559544616","+"
"4","1826_at","0.00539537603952497","+"
"5","2025_s_at","1.10588982921075e-07","-"
"6","31606_at","5.66132782226673e-06","+"
"7","31746_at","0.00434170611352309","+"
"8","31902_at","1.12022548182493e-05","+"
"9","32026_s_at","0.00218343239933064","-"
"10","32028_at","1.64280221438818e-10","+"
"11","32124_at","0.0269031812134202","+"
"12","32504_at","0.000430915638272027","+"
"13","32565_at","2.87932663481885e-05","+"
"14","32566_at","0.00015599224332404","+"
"15","32575_at","0.00012877998822403","+"
"16","32974_at","0.0188860118967141","-"
"17","32983_at","2.63123540282261e-06","+"
"18","32989_at","4.5016862800763e-05","+"
"19","32997_at","2.38025658489126e-10","+"
"20","33236_at","0.000611439193718348","+"
"21","33293_at","0.00560319436953698","-"
"22","33297_at","0.000886778609763334","+"
"23","33617_s_at","0.00950698649548648","-"
"24","33675_at","2.43163788174866e-07","+"
"25","33702_f_at","0.0127772741738604","+"
"26","33749_at","1.00909632699158e-12","+"
"27","33838_at","0.00657604816529173","-"
"28","33987_at","9.93219682771821e-06","+"
"29","34036_at","0.00303390618301146","-"
"30","34115_at","0.000928813324759467","+"
"31","34282_at","3.5065662330675e-09","+"
"32","34346_at","0.0261876319694303","+"
"33","34466_at","0.000123456500599825","+"
"34","34633_s_at","6.71660713285959e-13","+"
"35","34659_at","0.00025979175884364","+"
"36","34898_at","0.00395110090036645","-"
"37","34905_at","0.00459967030493551","+"
"38","35001_at","8.23310497376023e-05","-"
"39","35036_at","0.0127606279626592","+"
"40","35049_g_at","0.0130145914259643","+"
"41","35077_at","0.000996437646712553","+"
"42","35117_at","0.0225966331495806","+"
"43","35149_at","0.000704631926809708","-"
"44","35213_at","4.96626038726309e-09","+"
"45","35460_at","0.00896855385861253","+"
"46","35545_at","2.68249317445638e-16","+"
"47","35573_r_at","1.66252505570537e-06","+"
"48","35648_at","2.46207587848805e-06","+"
"49","35664_at","6.71640887253998e-07","+"
"50","35702_at","0.0159343197460168","+"
"51","35870_at","0.000154071085923417","-"
"52","35906_at","2.00944313835689e-07","+"
"53","35919_at","3.71721495997574e-06","+"
"54","35954_at","0.00192538358269481","+"
"55","36000_at","4.60173971444989e-05","+"
"56","36009_at","3.50797347148703e-05","-"
"57","36067_at","9.65306016072443e-10","+"
"58","36088_at","0.00622034840085191","-"
"59","36112_r_at","3.15147520682149e-15","+"
"60","36114_r_at","0.022288582457167","+"
"61","36142_at","0.000473146411343079","+"
"62","36177_at","0.00719192078785339","+"
"63","36229_at","3.60926424212906e-07","+"
"64","36279_at","0.000501308853173426","+"
"65","36287_at","6.62991144972089e-05","+"
"66","36294_at","0.00205884952648332","+"
"67","36347_f_at","2.61405470675923e-11","+"
"68","36349_at","0.0234084246775778","+"
"69","36437_s_at","0.000839436021412288","-"
"70","36445_at","9.3872810591256e-05","+"
"71","36468_at","0.00170770279544429","+"
"72","36520_at","1.2966347284721e-06","-"
"73","36570_at","2.99842957840535e-11","+"
"74","36622_at","0.00214651115613392","+"
"75","36655_at","6.09818154277775e-05","+"
"76","36664_at","4.85559573855819e-08","+"
"77","36687_at","0.00035279542704239","+"
"78","36700_at","0.000871697981903821","+"
"79","36712_at","0.00331874811223491","-"
"80","36755_s_at","0.039267146577275","+"
"81","36774_f_at","0.0172587251426638","+"
"82","36798_g_at","1.54596058344472e-06","-"
"83","367_at","0.0112966251245639","-"
"84","36800_at","0.0329365166301095","-"
"85","36815_at","0.00452543955420439","+"
"86","36843_at","0.00010654018314635","+"
"87","36895_at","0.0232005462116597","+"
"88","36906_at","0.000421862344321326","+"
"89","36911_at","0.00134814014792573","+"
"90","36916_at","2.16366218025497e-08","+"
"91","36948_at","0.0427823435816402","+"
"92","36977_at","0.00732280834251467","+"
"93","37018_at","4.96118350260017e-13","+"
"94","37032_at","0.015028179382825","-"
"95","37086_at","5.42444199225048e-07","+"
"96","37095_r_at","0.000154796293624469","-"
"97","37178_at","0.0198664430611371","+"
"98","37211_at","0.0144667420571391","+"
"99","37221_at","0.00138243970027933","-"
"100","37222_at","6.16122971267458e-11","+"
"101","37229_at","1.30397382101296e-10","+"
"102","37249_at","7.34966237514513e-10","+"
"103","37282_at","0.0254061386102495","+"
"104","37285_at","0.00100260120942095","-"
"105","37306_at","0.0139117376691534","+"
"106","37348_s_at","0.0220290126960478","-"
"107","37388_at","7.6816458847718e-05","+"
"108","37448_s_at","0.0225292362699858","+"
"109","37522_r_at","0.00938735836439239","+"
"110","37554_at","0.000104859068428572","+"
"111","37555_at","1.68346821957748e-06","+"
"112","37571_at","0.00184767779911712","+"
"113","37642_at","6.45550611218421e-23","+"
"114","37739_at","0.0334538523767269","-"
"115","37748_at","5.26963237579995e-06","+"
"116","37749_at","2.69145407468335e-07","+"
"117","37825_at","0.0162055461075415","+"
"118","37851_at","0.00015781693580633","+"
"119","37925_r_at","0.0127214137250532","+"
"120","37928_at","0.0362699451524522","-"
"121","37956_at","2.01382926186838e-06","+"
"122","37990_at","8.33540481353229e-09","+"
"123","37996_s_at","0.00341665912941957","-"
"124","38038_at","0.0288187974274123","+"
"125","38046_at","0.0367322098643899","-"
"126","38067_at","4.51941737664622e-06","+"
"127","38072_at","0.0100496298262859","+"
"128","38097_at","0.01291175150953","+"
"129","38127_at","0.000233620651829796","+"
"130","38224_at","0.00187229552209567","+"
"131","38302_at","0.022387175253533","+"
"132","38308_g_at","0.000275756114429468","+"
"133","38342_at","0.00175508784863756","+"
"134","38367_s_at","0.01790574855132","+"
"135","38381_at","0.0479062962882933","+"
"136","38423_at","3.50949104487374e-05","+"
"137","38424_at","9.46450811973669e-05","+"
"138","38425_at","0.000112569468760264","-"
"139","38442_at","0.0122202052806947","+"
"140","38447_at","2.52319537878376e-12","+"
"141","38456_s_at","0.0215654258198965","+"
"142","38474_at","1.0051056952494e-07","+"
"143","38476_at","2.95164548153584e-07","-"
"144","38534_at","0.00754446591648843","-"
"145","38538_at","0.000236302473913192","+"
"146","38602_at","0.004670810210815","+"
"147","38623_at","1.19129060785397e-06","+"
"148","38637_at","0.00300274353364518","+"
"149","38705_at","2.50683402679085e-05","+"
"150","38756_at","0.0223018594692349","-"
"151","38770_at","0.00867181931521279","+"
"152","38771_at","0.00533871434964074","+"
"153","38996_at","0.0338006599083303","-"
"154","39036_g_at","0.00922016822382913","+"
"155","39073_at","6.23195001015048e-06","+"
"156","39077_at","0.0470482983538815","-"
"157","39079_at","3.20088141954221e-07","+"
"158","39088_at","0.0152429641353405","-"
"159","39159_at","0.0133699212156562","+"
"160","39173_at","0.00142613965715563","+"
"161","39180_at","1.42958835654147e-06","+"
"162","39188_at","6.92805675727743e-09","+"
"163","39218_at","0.00405085307097351","+"
"164","39248_at","1.49610545439282e-05","+"
"165","39288_at","0.0163635108576314","+"
"166","39321_at","2.51820747806252e-05","+"
"167","39334_s_at","0.00502868082571868","+"
"168","39546_s_at","1.82115857619737e-05","+"
"169","39632_at","0.0247479742546247","-"
"170","39674_r_at","0.000765037093643956","+"
"171","39962_at","0.000216193373043483","+"
"172","40030_at","7.96667218068105e-06","+"
"173","40090_at","6.51135287122203e-05","+"
"174","40098_at","0.0315974605391229","+"
"175","40103_at","8.28937506782267e-06","+"
"176","40132_g_at","0.00429425946992886","-"
"177","40137_at","0.000225450507359487","+"
"178","40169_at","0.000920659334557379","+"
"179","40181_f_at","6.35783493118536e-06","+"
"180","40328_at","0.0165062881399246","+"
"181","40340_at","0.00283303490038548","-"
"182","40344_at","6.44614024458149e-05","+"
"183","40360_at","0.0226613052149305","-"
"184","40383_at","1.81301761070201e-06","+"
"185","40404_s_at","0.00405560831703375","+"
"186","40451_at","0.0129624511861953","-"
"187","40573_s_at","6.84808409565893e-05","+"
"188","40638_at","0.0457641232108204","-"
"189","40693_at","0.000236169439677736","+"
"190","40712_at","0.0182360597727479","+"
"191","40784_at","0.0112416569997048","+"
"192","40789_at","5.09617712326903e-11","+"
"193","40790_at","5.7348869078564e-11","+"
"194","40809_at","0.00833555807703319","+"
"195","40810_at","0.000386695627871854","+"
"196","40812_at","0.000415969072318114","+"
"197","40847_at","7.39272344303401e-05","+"
"198","40960_at","0.00404284169219901","+"
"199","40971_at","0.0153173749055008","+"
"200","40997_at","4.63593709611425e-07","+"
"201","41044_at","0.0335447983525225","+"
"202","41116_at","0.002946578815446","+"
"203","41118_at","0.00138856068503714","+"
"204","41157_at","0.000328435529622054","+"
"205","41158_at","0.00819151244652835","+"
"206","41159_at","0.000153757609199815","+"
"207","41160_at","0.000335281797960952","+"
"208","41161_at","6.81024882948856e-05","+"
"209","41171_at","0.0022192913112231","+"
"210","41233_at","0.000504756326585722","+"
"211","41257_at","0.00474569877403423","+"
"212","41285_at","3.74943791639653e-06","+"
"213","41328_s_at","4.51013841874535e-11","+"
"214","41520_at","2.91127329745681e-10","+"
"215","41574_at","9.22303253623964e-06","+"
"216","41665_at","4.52395674513186e-06","+"
"217","41738_at","2.20911137367841e-08","+"
"218","41769_at","0.016580882575499","+"
"219","41861_at","2.6179547942287e-09","+"
"220","41862_at","0.0094633950907446","+"
"221","41867_at","2.20252561630163e-08","+"
"222","587_at","0.000127222129333166","+"
"223","611_at","8.31641077118373e-05","+"
"224","705_at","1.40463195707265e-10","+"
"225","724_at","0.000582235956722307","+"
"226","741_g_at","0.0391928462946004","-"
"227","765_s_at","1.36191367052238e-05","+"
"228","773_at","0.000265752937095452","+"
"229","807_at","0.00721459960005323","-"
"230","813_at","0.00539751327817615","+"
"231","823_at","1.49258644253189e-06","+"
"232","824_at","3.04380355447373e-11","-"
"233","884_at","0.0383766701774618","+"
"234","AFFX-BioC-3_st","0.00210995343193908","+"
