"","k.w","TE.random.w","lower.random.w","upper.random.w","lower.predict.w","upper.predict.w","pval.random.w","I2.w","lower.I2.w","upper.I2.w"
"Vietnam",1,-0.9447157,-2.06983933640925,0.180407936409248,NA,NA,0.0998268610060271,NA,NA,NA
"China",1,-1.6267873,-2.55234512994516,-0.701229470054842,NA,NA,0.000571292729502682,NA,NA,NA
"Turkey",3,-0.939890630620184,-2.22447890766706,0.344697646426693,-15.9126159662649,14.0328347050245,0.151560667876064,0.715802990090161,0.0364571236013914,0.916176080566776
"Iran",4,-0.949675071919423,-2.2435597007832,0.344209556944354,-6.59843713561341,4.69908699177456,0.150275606197856,0.772222040816921,0.380147465448024,0.91629815835615
"Egypt",1,-1.8333181,-3.42873472210648,-0.237901477893523,NA,NA,0.0243080471731432,NA,NA,NA
"Peru",1,-1.0057674,-1.50454948139379,-0.50698531860621,NA,NA,7.74480888935456e-05,NA,NA,NA
"India",1,-0.2421608,-0.758025907883402,0.273704307883402,NA,NA,0.357541815669263,NA,NA,NA
