"","k.w","TE.random.w","lower.random.w","upper.random.w","lower.predict.w","upper.predict.w","pval.random.w","I2.w","lower.I2.w","upper.I2.w"
"low risk",5,-0.781443428570438,-1.29329527046308,-0.269591586677791,-2.36518862679795,0.802301769657076,0.00276907577231355,0.566162459311768,0,0.839262929588754
"high risk",6,-1.31916966730464,-2.31476676639499,-0.323572568214283,-4.50581750694873,1.86747817233945,0.00940530974835004,0.724787918744182,0.365588322361536,0.880611135735868
"some concerns",1,-0.4140789,-1.35477129743882,0.526613497438818,NA,NA,0.388276475701501,NA,NA,NA
