"","studlab","TE","seTE","statistic","pval","lower","upper","w","tau2","se.tau2","lower.tau2","upper.tau2","tau","lower.tau","upper.tau","sign.lower.tau.i","sign.upper.tau.i","I2","lower.I2","upper.I2","Rb","n.harmonic.mean","t.harmonic.mean"
"1","Omitting Hinton 2020",-0.968387300698159,0.276590594941561,-3.5011577342417,0.000463241577667165,-1.51049490524613,-0.426279696150193,13.0714926502634,0.535911265816855,0.368682529146672,0.115727235505836,2.51521288915732,0.732059605371622,0.34018705958022,1.58594227169759,"","",0.667182668092178,0.371655777466675,0.823715453335984,0.636832742938036,NA,NA
"2","Omitting Lin 2017",-0.890320126838081,0.265404293385633,-3.35458072467745,0.000794853577871623,-1.41050298321622,-0.370137270459939,14.1965923485696,0.463409527976942,0.338229431731014,0.079568195739247,2.38949996641398,0.680741895270845,0.282078350355441,1.54580075249496,"","",0.62808207437105,0.286307196483739,0.80618699989317,0.59807601446652,NA,NA
"3","Omitting Lök 2017",-0.843745336860898,0.239414675060432,-3.52420058063661,0.000424762575066698,-1.3129894773497,-0.374501196372092,17.4461043412795,0.349386432079838,0.273538634493881,0.0434619120260683,1.90673539448381,0.591089191306894,0.20847520722155,1.3808458981667,"","",0.595444129843615,0.214327748733465,0.791687371147251,0.554130195408383,NA,NA
"4","Omitting Mahdavi 2017 (group spiritual therapy)",-0.821568795591455,0.232223034462558,-3.53784368330575,0.00040340880490027,-1.27671757951867,-0.366420011664238,18.5434017943491,0.306239035806113,0.255584541223468,0.026841717321508,1.96526013109137,0.553388684204975,0.163834420441823,1.40187735950452,"","",0.566694828929823,0.15053547444869,0.77897444139377,0.516246680551529,NA,NA
"5","Omitting Mahdavi 2017 (group sessions)",-1.05881123722836,0.252125303919584,-4.19954372198226,0.0000267453384547218,-1.55296775250196,-0.564654721954758,15.7313911831147,0.398254919648789,0.303827669704715,0.0578149537878113,1.9996913352617,0.631074416886621,0.240447403370906,1.41410442869744,"","",0.617936670902352,0.263994169086676,0.801669523106852,0.569554902872272,NA,NA
"6","Omitting Mercedeh 2014",-0.912008478026855,0.257969321732823,-3.53533696139037,0.000407255472730532,-1.41761905773941,-0.406397898314296,15.0267090086037,0.459508157613959,0.32217889223584,0.0954090036806746,2.29142398761126,0.677870310320462,0.308883479131977,1.51374502067266,"","",0.652037030502279,0.338728862650068,0.816900781989522,0.627717761049507,NA,NA
"7","Omitting Pahlavanzadeh 2010",-1.03254598924167,0.263204106505372,-3.92298586428249,0.0000874582845331226,-1.54841655857525,-0.516675419908102,14.4349298712214,0.467455840875143,0.332961182735045,0.0884991107844986,2.18658277051702,0.683707423445982,0.297488001076512,1.47870983310351,"","",0.649705220896403,0.33364374686726,0.815854609767135,0.613426570993229,NA,NA
"8","Omitting Shata 2017",-0.90601123978978,0.259734705794628,-3.48821786067419,0.000486251701146156,-1.41508190868236,-0.396940570897201,14.8231339101972,0.460665683337718,0.325255418252429,0.0928676850915043,2.32195806507137,0.678723569163262,0.304741997584029,1.52379725195689,"","",0.648994827244611,0.332093750749796,0.81553604051564,0.62077355563159,NA,NA
"9","Omitting Söylemez 2016",-1.01991711880362,0.274326214973316,-3.71789884864932,0.000200886669779567,-1.55758662016651,-0.482247617440727,13.2881761735709,0.513814877417012,0.362311849804826,0.102285131814208,2.38308714064764,0.716808815108333,0.319820468097662,1.54372508583868,"","",0.659353625931065,0.354657865024818,0.82018847696846,0.620696601065362,NA,NA
"10","Omitting Uyar 2019",-1.02939866297983,0.26852206619594,-3.83357195765311,0.000126295833355932,-1.55569224177815,-0.503105084181505,13.8688368556928,0.48770822029127,0.346632059751292,0.0941181708481352,2.29304282394342,0.698361095917628,0.306786849209896,1.51427963862142,"","",0.653492742120818,0.34190136036679,0.817554280571269,0.614904158218173,NA,NA
"11","Omitting Guerra 2011",-0.964760834942141,0.287563176959762,-3.35495262342695,0.000793785777690967,-1.52837430506319,-0.40114736482109,12.0929833246538,0.568399634203255,0.400612815140442,0.114000709568494,2.51746599911565,0.753922830403255,0.3376399111013,1.58665245063803,"","",0.658987324681302,0.353861373511072,0.820023691572309,0.624877027105391,NA,NA
"12","Omitting Amit 2008",-1.05584922070972,0.267825551765128,-3.94230204605594,0.0000807032523114539,-1.58077765630894,-0.530920785110506,13.9410660046516,0.454479664505554,0.34592468229081,0.0553727621757941,2.28079290004861,0.674151069498191,0.235314177591989,1.51022941967392,"","",0.581030406827487,0.182380828230113,0.785308948146162,0.575993727331258,NA,NA
"13"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Pooled estimate",-0.957811608827623,0.251142496209953,-3.81381734784901,0.000136836616679325,-1.45004185638662,-0.465581361268628,15.8547568800237,0.454282820461585,0.315154451666135,0.0898368953241877,2.08567935506003,0.674005059670612,0.299728035599254,1.44418813007864,"","",0.634575587394882,0.319925801125779,0.803646423362559,0.600211972765824,NA,NA
