"","k.w","TE.random.w","lower.random.w","upper.random.w","lower.predict.w","upper.predict.w","pval.random.w","I2.w","lower.I2.w","upper.I2.w"
"National/federal government",1,-0.9447157,-2.06983933640925,0.180407936409248,NA,NA,0.0998268610060271,NA,NA,NA
"University",6,-0.96319013535762,-1.81271083944933,-0.113669431265911,-3.67463962549574,1.7482593547805,0.0262687534555082,0.699014769991703,0.294812054941188,0.871534802433993
"Unknown",2,-1.27047100496246,-3.40746384005595,0.866521830131031,NA,NA,0.243927940529124,0.835145648897161,0.315990526302481,0.960268156915095
"Self-fund",1,-1.8333181,-3.42873472210648,-0.237901477893523,NA,NA,0.0243080471731432,NA,NA,NA
"International organisation",2,-0.626918600173606,-1.37521691193888,0.121379711591667,NA,NA,0.100581128255214,0.770127150909606,0,0.947567686617458
