"","k.w","TE.random.w","lower.random.w","upper.random.w","lower.predict.w","upper.predict.w","pval.random.w","I2.w","lower.I2.w","upper.I2.w"
"low risk",1,-0.9447157,-2.06983933640925,0.180407936409248,NA,NA,0.0998268610060271,NA,NA,NA
"some concerns",4,-0.782640436093772,-1.36034236759164,-0.204938504595908,-3.15895602641605,1.5936751542285,0.00792480190692133,0.653131286314414,0,0.882107985216652
"high risk",7,-1.13983574126847,-2.02604827422653,-0.253623208310416,-3.93078165109166,1.65111016855472,0.0117061183401294,0.70877646401224,0.365119639552255,0.866413968368148
