"","k.w","TE.random.w","lower.random.w","upper.random.w","lower.predict.w","upper.predict.w","pval.random.w","I2.w","lower.I2.w","upper.I2.w"
"low risk",1,-0.9447157,-2.06983933640925,0.180407936409248,NA,NA,0.0998268610060271,NA,NA,NA
"some concerns",1,-1.6267873,-2.55234512994516,-0.701229470054842,NA,NA,0.000571292729502682,NA,NA,NA
"high risk",10,-0.897514304981471,-1.47796480480437,-0.317063805158573,-2.75426836489397,0.95923975493103,0.00244092818557224,0.663685011270503,0.343446547265488,0.827724961047674
