"","k.w","TE.random.w","lower.random.w","upper.random.w","lower.predict.w","upper.predict.w","pval.random.w","I2.w","lower.I2.w","upper.I2.w"
"Multi-component intervention",4,-0.529457843434399,-1.06632383818306,0.00740815131426575,-2.20645313099626,1.14753744412746,0.0532462175638205,0.322226061338767,0,0.758319536778314
"Coordinated community intervention",1,-1.6267873,-2.55234512994516,-0.701229470054842,NA,NA,0.000571292729502682,NA,NA,NA
"Psychoeducational intervention",4,-0.915472530649491,-1.74347947492588,-0.0874655863731008,-4.33594058580908,2.5049955245101,0.0302346569908927,0.608836574266078,0,0.869111031957344
"Miscellaneous",1,-2.2899646,-3.41171353122139,-1.16821566877861,NA,NA,6.30443108862996e-05,NA,NA,NA
"Group support",1,0.18872011,-0.834328896089,1.211769116089,NA,NA,0.717687420837764,NA,NA,NA
"Cognitive-behavioural intervention",1,-1.9376745,-3.84271847092674,-0.0326305290732642,NA,NA,0.0462028719000565,NA,NA,NA
