"","k.w","TE.random.w","lower.random.w","upper.random.w","lower.predict.w","upper.predict.w","pval.random.w","I2.w","lower.I2.w","upper.I2.w"
"low risk",4,-0.803589999781936,-1.36985436678111,-0.237325632782761,-2.93543253405241,1.32825253448854,0.00541250770312195,0.544099144288796,0,0.84918234193114
"some concerns",6,-1.07181461161509,-1.97543859777416,-0.168190625456012,-4.07336758729074,1.92973836406057,0.0200842558940379,0.74799568927989,0.42852342466561,0.888873533295117
"high risk",2,-0.891506332571502,-2.53061731693087,0.747604651787862,NA,NA,0.28641592143303,0.577594797130192,0,0.899553802212919
