facility_type_a,Psychiatric Hospitals
,
Row Labels,Average of rate
2009,1.666666667
2010,1.75
2011,1.65
2012,1.316666667
2013,1.35
2014,1.416666667
2015,1.55
2016,1.533333333
2017,1.566666667
2018,1.516666667
2019,1.533333333
Grand Total,1.531818182
